participant_id,track_id,full_response_text
10,b,"comfort. the film boyhood after hearing it on a films soundtrack i found it and loved it its lyrics are comforting in any mood; it reminds me of the film and of personal feelings yes; it makes me feel confident, independent and also grounded. As someone with anxiety it helps me know i can let go sometimes and not always try and help myself."
11,a,"Faith Encourgement It encourages me doing the day  No , just started listening to it ."
11,b,"Joy  It gives me hope. I enjoy it because it reminds me not to give up and allows me to express my self  Yes, I can play it when encouragement is needed."
12,a,"The music video I like the song I like the voices  No, it doesn't affect me"
12,b,"The video It's funny It's funny, the lyrics are lewd No"
14,a,"I want to skip it When I got the track, I loved the song and now I am over it. I am just kinda over it, it is a bit annoying now. Yes, it's my dad's favorite song."
14,b,"Spunky  I like the song  It is so upbeat and so fun. No, its just a good song "
15,a,Never heard it before... Wanted to have a Slayer album in my collection. Energetic No
15,b,Moody I like the artist Feels good man. No
16,a,Relaxed I enjoy listening to relaxed music when doing uni work It relaxes me No
16,b,Olympics Liked it a few years ago Memories No
17,a,"Best concert I've ever been to I want to use it at my wedding The guitar and vocals Yes, Josh Garrels' music meant a lot to me when I was going through a hard time"
17,b,"I don't remember this song I saved the whole album I like the band No, I don't remember this song being on the album. As it's playing, I like it more. "
18,a,"Fun, energised Gets me pumped to do revision It's fun and happy No, I don't feel it on a human level"
19,a,Its a good song that I've not listened to in a long time! I like Bruno Mars and the song makes me happy! I like Bruno Mars's voice and the dancing beat. No.
19,b,Its an old song! its good to dance too :)  good to dance to but can get a bit boring and repetitive.  no
20,a,"Old school hiphop with cool effects Because Run DMC are a classic trio and I like their music. Because its upbeat and makes me feel good, and it's fun to listen to on journeys. Not really, but it reminds me of summer"
21,a,"Enjoyable, want to sing along  As part of a album I wanted to listen to Enjoy Yes , evokes memories "
21,b,Great song  Good track from a great album Good song  No
22,a,alcohol reminds me of university pre drinks memories no
23,a,"Sassy Good sassy song for the club Upbeat and empowering No, just like the song. Dont give connotations to songs or form a relationship to them because it will ruin the song if anything goes wrong."
23,b,"Hatred Empowering  Lyrics are powerful No, just like the song. Dont give connotations to songs or form a relationship to them because it will ruin the song if anything goes wrong"
24,a,"A solitary lonely man playing beautiful music for people. Bill Evans is one of the most prolific Jazz Players of all time, and came across him via his son, a film scorer, Evan Evans. Piece Peace has many different flavours within the song and beautifully describes Bill's emotions at the time of composition, no need for words.  Yes. Discovered Bill Evans via his son, Evan Evans and recently downloaded it. I hope to discover more of his work soon."
24,b,"A very basic yet effective pop melody. In my 20s, I would go out to see 1927 on a regular basis and fell in love with their music. They are reformed pop/rock band from the late 1980s.  The flavour of the melody (regardless of the lyrics) gives me a high. Yes. This album was released after my partner died in 2012 and it has had a long term positive effective in my life in the grieving process."
25,a,"Nostalgia, friends, sing along  For the reasons mentioned above : Nostalgia, friends, sing along  Makes me happy and reminds me of good times  Just a song that I like. "
25,b,Trying to learn this on guitar. Listening to friend playing this song and singing along in the back of a van during high school summer vacation.  I like this song. Pretty. Like to sing along. Nostalgia.  Like to sing along. Makes me happy.  Just nostalgic I guess. 
26,a,Its 'scherzo' like nature Great Cd Part of a fine album No
26,b,Happiness  Makes me feel happy Happiness  No - don't understand this question!
27,a,"musicals - friendship - story line and listen to the words I love musicals and rent is spectacular, not just for the  phenomenal tracks for the meaning and characters the words and a great sing a long  yes - musical theatre - studied and performed"
28,a,"Easy listening song and artist Memory Lane listening, not my current favourite artist or style , but used to love Anne Murray not my current favourite artist or style , but used to love Anne Murray No.  It's just an easy listening, background piece of music."
28,b,"my cousin, J I like this group, not necessarily my favourite track but selected a selection of their songs.   The Ozarks were a favourite group of a cousin , who I loved, but who was tragically killed and I love listening to this group at anytime reminds me of him.  No.  Not this track in Particular but the group in general,"
29,a,"It reminds me of the last time I listened to this band, about 2-3 years ago Because I love this band It's very relaxing music, and it's partly instrumental / partly in a language I don't understand (Czech) which makes it great for listening to when reading or thinking Yes, it reminds me of my life 2-3 years ago - which was completely different to it is now - which is when I last listened to it."
29,b,"I love this song! It reminds me of when I saw this band live a couple months ago - they played it at the concert Because I have almost every other song by this band, but I didn't have this one yet, so I saved it I love this track because it's upbeat and I still haven't learned the words yet (it's in Swedish), which is a challenge because I'm still a beginner at Swedish Yes, I saw this band live a couple months ago and they played this song at the concert, and it was the first time I had ever heard it. Now every time I listen to it, it reminds me of dancing like crazy at the concert :) "
30,a,"Relaxation/Calmness I found it a very fitting background noise whilst playing strategy games Artist's voice accompanied with the music is very soothing  No, It is a good song but really, it's nothing extra special"
31,a,This track reminds me of warmth and summer. The first thing that comes to mind is a warm summer day and feeling the heat on my face. I found the song to be catchy and enjoyed the way it sounded. I like the voice of the singers. They have really great harmony. I also like the way the song sounds and it is uplifting and not depressing. It also makes me feel happy. Yes. I listened to this song while high on LSD and because of it this song is very special to me. 
31,b,"Triumph I love Fleetwood Mac, and this song is iconic Fleetwood Mac. It's so catchy, and it makes me think I can do anything. I know all the words and can sing along. Stevie Nick's voice is awesome and she has to sing it with her ex which makes it even better. Also it's just an awesome song. Yes, I think I have a relationship with every one of Fleetwood Mac's song, but I think this one is especially important. It makes me think I can make it through changes, and that no matter what happens, things will be okay."
32,a,"Great track...  One of my favourite bands, their latest album Not too loud just a nice, chilled song Not especially."
32,b,"Reminds me of the concert I attended last year Not too noisy, nice chilled song Brings back nice memories of the gig, a chilled but enjoyable song Yes, reminds me of a great concert and randomly bumping into an old friend that I hadn't seen in years"
33,a,"University days, singing this at the top of our lungs at the end of a night out.  I love it The memories associated with it yes Yes it reminds me of university days. "
33,b,Dancing I love it It motivates me especially when exercising.  I love to listen to it when in the gym
34,a,The video game Guitar hero (as thats where i first heard the song) Its catchy to walk/travel to and is fairly neutral (doesnt really have any emotional connotations) Catchy/easy to time with walking pace No not really
35,a,PUMP UP THE BASS!!!  It's my favorite song at the moment I enjoy listening to this song very much. Whenever I hear the song its like a wake up call and I'm filled with energy Im not completely sure what you mean by relationship
36,a,"I saw them at SnowGlobe. I like the Chainsmokers.  I heard them live and started listening to their music, and it reminds me of how much fun that music festival was.  No, it doesn't particularly speak to me. "
36,b,It reminds me of high school in a good way.  Because I fuck with G-Eazy heavy It gets me hyped up and reminds me of all the adventures I had in high school with my friends.  Yes. I've listened to him since before he was big and he's from the same place I'm from. I saw him go from nothing to something and he raps about that in this song. 
37,a,"Love the meld of music and voice.  Enjoy the band and wanted to hear more of their stuff I love the sound, and find the lyrics intriguing.  No, but I suspect I will. "
37,b,"Dreary and dirge like.  I wanted to explore more of Whitaker's music I found it tedious. It couldn't quite make up its mind what it wanted to be. The mood kept shifting.  No, this is the first time I've heard it. "
38,a,"My boyfriend I have all of Beyonce's music saved but this is one of my favourites. I think the lyrics are really meaningful and poetic. It has Prince vibes, who is another artist I love. Yes. It was playing when my boyfriend first told me he loved me. Seeing her perform it live was beautiful too. I cried."
38,b,"Trainspotting. The anticipatory opening.  It was part of a soundtrack playlist from my favourite movies. It makes me excited, the beat picks me up. I kinda want to run or jump around to it. Not particularly. Like I said, it is from one of my favourite films trainspotting but other than that I don't relate to it much."
39,a,The intro is very haunting so I picture a dark club with red lights that flicker through the club..  I love Beyonc̩.. her music makes me feel like anything is possible.. makes me fee more positive and stronger about myself. The song is about a girl who works her hardest and pushes her self to numerous limits so she can get the best out of life but it's never enough.. So somehow it's pushing me to go finish my degree and work my hardest to get the life I want.. however it is sang in quite a sexual manner so people's views about the song may differ.. Not sure.. It's simply a powerful song
39,b,I think about the first moment when you supposedly meet the love of your life and you say 'hello'.. Again.. I love Beyonc̩ and majority if not all of her music.. It kind of gives me hope.. that there could be a moment in life when you meet the person that you're supposed to be with and you might know by simply saying 'hello' Not sure.. haven't found that person yet.. so maybe when I do I'll have a relationship with this son because I'll understand better what she means. 
40,a,"It reminds me of singing at Christmas time and my childhood in a choir. /Good memories singing /Good memories, pleasant music/Yes - it is a piece I sang many times as a child"
40,b,Christmas\The album was a gift\I don't really like this version of silent night. It is a bit too polite. \No. It just happens to be on an album that was given to me.
41,a,Dancing in a pub/Because it pleases me/Because I love the song/tes
41,b,Cold time \Mood of the track\Beacuse it is charming\yes
42,a,Seeing them in concert /So I can run to it /I enjoy this track during running as it is very upbeat /Not really it's just a motivator
42,b,Revision playlist \I like the whole album which was uploaded including this song \It's a good uplifting sing a long song \No its just enjoyable to listen to
43,a,"Ah, not quite what I fancied just now.... can't remember -- it's part of a playlist I made many years ago but still return to often.  It's quite an eclectic mix of tracks in the playlist ... this gives a bit of downtime ... it's very beautiful ... has 'missing' inner parts in the harmony that I can add for myself ... not particularly ... If I stop to think about it I can associate events with it (playing it on the piano at home, listening to it in a concert once half a life-time ago, and imagining the performer groaning his way through some of the other tracks on the disc) but I don't usually pay it so much attention! "
43,b,"Unusual to have another classical track picked out (relatively few are classical in this playlist) I love string quartets .... shostakovich 8 is one I've played ...  I would actually say my level of enjoyment of the track varies quite a bit -- I love the sense of a small group of people pulling together... on the other hand it can be a bit distracting if I'm listening in the background while doing something else.  Yes, I suppose so -- had a great evening busking through string quartets with friends not that long after my mum died -- seemed the first time I'd really connected with people well and I appreciated that sense of support. "
44,a,It reminds me of my best friend throughout high school as we both loved Aerosmith and always  used to sing along to their songs.  Because it's a really fun song to listen to when played nice and loud! I enjoy it because it's really powerful and fun to sing (or screech out of tune) along with without caring about who's listening! Yes - the band reminds me of my best friend from high school and the many times we spent listening and singing along to Aerosmith and playing their songs on guitar hero on the Wii!
44,b,"It makes me think of being outside and having fun in summer.  I used it to choreograph a dance to when I was the tap teacher in my university dance society.  It's really upbeat so it puts me in a good mood. It's an easy song to sing along with as well.  Yes to an extent, as it reminds me of my time as a tap teacher. "
45,a,Dancing /Lovely uplifting music that creates a good mood and happy that makes me want to dance/I enjoy the track - mentioned above. The fast beat and cheerful voice/No just enjoy listening to the album
45,b,Sam smith and the James Bond film theme song \I down loaded the album as I enjoyed 2 tracks \Well it is a album/ song I enjoy when I want to relax. I usually skip the track when I am driving as I feel I cannot sing a long. \No it is a album track that I have acquired by opportunity
46,a,"Relaxing, contemplative, interesting pleasing drum line, prayerful, emotional cello and violins /A favorite artist and track. Makes me feel good to listen to. Wanted to share with friends of like taste./See above. Makes me feel relaxed. Evokes a calm emotional response. Interesting from a musical standpoint. Spirtual content./Modern rendition of traditional hymn which I have heard for years."
46,b,Pleasing prayerful\A favorite artist and track I wanted to recall as mybest of\Lyric is prayerful spiritual conversation and the artists words become my own. The musical arrangement is dreamy with cello piano and lead guitar with vibrato. Great tasty drumming.\It is a spiritual faith based song which resonates with my spiritual sensibilities.
47,a,"Good song, haven't heard it for a while!/I have all of The Beatles' albums saved because they're obviously amazing./It's a very good song that I haven't heard for a while./Not really."
47,b,"One of my favourite songs.\It's a band and an album that I really like.\It's the sort of music that I like.\A bit, it's quite an emotional song for me that has some good memories attached."
48,a,"The sadness of drinking too much- the song is about alcoholism/I didn't- when I plugged my iPod into my computer I chose the option ""fill available space with random songs"" and this was one of them/The guitar solo, the lyrics and the vocals suggest that Roger Daltrey is descending into madness. The track is also musically similar in parts to other Who tracks from that period/Yes, because I think I've seen The Who perform it live and all the energy their live shows bring."
48,b,"It's a bit average\I didn't add it, it was one of the random songs/ tracks added to my iPod by iTunes \This is the first time I've actively listened to it. Based on this first listen it's clearly an album filler. Lyrically and musically it's uninspired \No- it's the first time I've listened to it actively"
49,a,"Spinning in a field- arms out enjoying the sun/The cheerful tune and the overall message made me happy/It always bring a smile to my face and makes me want to dance/No, I haven't done anything specifically other than listen to it"
49,b,"It makes me think about Harry Potter\The beat is really enjoyable and I really like the lyrics\Because it is really easy to sing to and is just enjoyable to listen to more than once\No, I haven't done anything with this music before"
50,a,"My 14-year-old self who just bought this album. /I have been a fan of this band for over a decade now, and I can't imagine not having at least some songs of this artist on my device. /The track is lively and powerful, and is sung by one of my favourite vocalists. I also like the combination of string quartet and the typical metal band set-up (i.e. the melodic and rhythmic aspects of this song). /Yes. I bought this album when I was just becoming familiar with the metal genre, and the songs from this album remind me of my time in secondary school and the positive emotions I associate with that time."
50,b,"This song sounds laid-back and jazzy. \This song has been on my laptop for a long time because at some point I wanted to listen to more Herman Brood after I had heard his version of ""My Way."" I haven't listened to any songs by this artist for at least five years. \This song sounds very laid-back and is ""groovy"". I enjoy the big-band instrumentation, the solos between the verses, and the bass-line. \No. I think I've never heard this song before, but I'm glad I've been ""forced"" to listen to it."
51,a,Love It's calm and happy It depends on my mood No
51,b,His voice is beautiful I love this song I like his voice No
52,a,A friend who recommended the track Recommended by a friend Relaxing Reminds me of a friend
52,b,The beat! Like the song Good music. Yes it's a happy song! Also reminds me of the film about a boy.
53,a,The first thing I thought was that this was a funny song. It brought back many funny memories with me friends. /Because it is a song myself and my friends like to dance to. /Because it is a great song that I have many happy memories associated with./Yes - this song makes me laugh and smile every time I hear it!
53,b,I associate this song with the TV show called Glee. It also is a very fun song to sing. \I saved it as part of a cheesy playlist that me and my friends listen to before we go out. \Because it is a good song and I like to sing along to it. \Not really. It is just a song I like to sing and dance to.
54,a,"It's a very calming song which is somewhat sad. I enjoy relaxing music, with acoustic guitar. Also Ryan O'Reilly has long been a favourite of mine. It made me nostalgic and I also think it has beautiful lyrics. Yes. It's a song my first boyfriend and I used to play as we roamed the countryside and one I have listened to many times since then. It has good memories, but is also appropriate for when you're feeling down."
54,b,Urgh. Not this again. I think Emeli Sande has an amazing voice and downloaded her whole album when it first came out. Unfortunately this song happened to be on it. I just think it's her worst track and find it particularly annoying. Mostly because the lyrics are rubbish. No. Not unless you count skipping it as a relationship.
55,a,"The group, dancing./Chosen and added by my daughters./Because it's cheerful./No"
55,b,"A friend from many years ago, who I don't see now.\It's on an album which has some cracking songs on by this band.\Because it's a bit wild.\Yes, a little bit. Because it reminds me of a previous lifestyle from when I was younger."
56,a,"It's a great song by a band from near where I grew up. It's a pretty 'rocking' tune. It's a good song. It feels good to support a band from near my home town.  It has all the hallmarks of the kind of music I listened to a lot growing up and still really appreciate. It has a whole lot of 'drive'.  Yes, but not so much with the track but the band in general. Their progress/success co-incided with a lot of my own personal development over the last couple of years so in some ways their music (including this track) has been a soundtrack to that. "
56,b," I love the over all feel of the track. I choose to save the track as part of my research into 'Tango', in order to gain more musical skills and a greater repertoire.   I think it is something to do with tracks specific musical qualities, being very rhythmical and with some great chords combined with the fact it is different to the usual repertoire of tunes I listen to. I don't really have a specific relationship with the track. Perhaps, the track is part of a greater relationship with music? I often look into other types of music for my own musical development so there is an interesting element of 'challenge' in my short-term relationship with the track.  "
57,a,"Yay, I love this song! Green Day is one of my favorite bands so I have most of their songs saved to my phone It has a really good beat No"
57,b,"That's an awesome song Because it is one of my favourites Because its fun to sing along to Yes, i like to listen to it when i am not stressed out for the irony"
58,a,Listening to the cure with my mum Makes me happy Reminds me of my mum Yes it reminds me of when i was little 
58,b,School Makes me happy Reminds me of being in school with my friends Yeah it reminds me of school and old friends
59,a,"Movies/Good beat/It reminds me of similar Fluke tracks/No,  it doesn't remind me of a specific time, it's just a track I found and enjoyed."
59,b,"Dancing\Reminds me of skiing\Reminds me of an amazing ski trip \No,  it's more about the memories it brings than the track itself."
60,a,"The track makes me feel happy and looking forward to bright memories and what I have to look forward to. It also makes me think about when I discovered Against the Current when they supported All Time Low./I like how the lyrics about there being something beautiful hiding the shadows and the focus on  being optimistic. Chrissy Constanza's voice is exceptional./The song makes me feel happy./The track makes me think of a great night when I saw All Time Low, Good Charlotte and Against the Current in Birmingham with my brother, the weekend when he visited from uni and before I moved to Lancashire."
60,b,"Desiring to get lost in thoughts of a faraway place like the moon.\Waterparks play unique songs and the album Double Dare is one of those albums where each track is different.\Awsten Knight is gifted with a high energy voice and I like the idea of being so happy that you feel like you are lost in heaven. It is up beat and uplifting.\Yes, the song makes me think about pursuing hope and being on a journey to then get to a place where you feel happy. Waterparks have three EPs and released an impressive album at the end of last year. They are achieving their dreams and do not want to stop there. Awsten Knight wants to illustrate children's books and Otto want to get better at unicycling."
61,a,"Cheery, happy, driving Because I like the song, I like old songs Happy tune, nice song No"
61,b,"Happy, sing along, driving, childhood Like the song, happy song, put it on when getting ready or driving Catchy, like the song and beat Yes, just heard it a lot when I was younger been driven around in the car"
62,a,"Reading festival /Playlist for background music /Upbeat, catchy and great guitar riffs/Yes - takes me back to summer and festivals"
62,b,To turn it off \Gathering the others liked it \Boring same generic arctic monkeys song as every other \No- don't like arctic monkeys
63,a,"Remembering when my friend introduced me to the band with this song (amongst others) I enjoys listening to it but also find it a good song for motivation when exercising It is part of a great album, and is different to many other songs that I have Yes, as I remember finding out about the band and listening to their music and really enjoying it with a friend."
63,b,"Jealousy, I know people who have seen the band live and I missed out As part of a great album that I can listen to at any time I enjoy listening to the track as part of the appreciation for the band, the song itself is good but nothing special Not really, it doesnt stir up any emotions of attachment or sentimentality"
64,a,"I feel like dancing. But why did I add this to my playlist? I just heard it and fancied hearing it again. Simple poppy song. No. I don't really know the band, quite like their songs and am more or less (though not entirely) over the idea that they're crap because they're disposable, so I should be a bit ashamed of liking them. I'm not ashamed. Not much."
64,b,"Woo-ooo-ooo-oooooh (which is the first line. I don't know much about this song). I don't remember, other than liking it. Normally I browse new music via Spotify playlists (esp. BBC radio 6, though this didn't come from there) and add the ones I like. This probably came from a dance mix. Simple happy sound. No. It doesn't remind me of anything, I just like it."
65,a,"Driving too fast/It's on my gym playlist, it has a good beat and I love the lyrics./I love the lyrics and enjoy Ed Sheeran's music./Yes. I can relate to much of what it said in the lyrics. It takes me back to a time in my life."
65,b,"Karaoke as a drunk teen!\Happy memories \It makes me sing aloud. This doesn't make anyone else happy as I can't sing in tune, but I love to sing this song really loud! \I associate many memories with this song. It makes me think of people I haven't seen in years and I can taste vodka and black currant when I really listen. Oh happy karaoke days...."
66,a,Brilliance To feel brilliance Enjoy feeling the superb technicality to be connected to superb interpretation Like to feel it
66,b,The combined greatness of Sibelius and Mullova to enjoy it Feel the combined and matched greatness of the composer and the interpreter I like to listen and feel the music 
67,a,"I remember really liking this song when it came out and dancing to it  It has a good beat and is enjoyable to listen to when walking around campus  I like the tune and the beat - it makes me feel happy  Yes - it takes me back to the time when I first heard it and I enjoy memories of last year. Also, my husband and I enjoy the Sean Paul aspects of the song and we usually sing along to it together. "
67,b,"Sitting on the train and listening to this song on the way home from school  It's a song that I have liked for a few years and it makes me feel emotional -  I tend to play it when I am feeling sad and it comforts me It's got a smooth tune and it is emotional (in a good way) Yes - it is a song that I used to listen to during a difficult period in my life: I feel quite emotional when I listen to it (sometimes in a good way, sometimes in a bad way). "
68,a,"Summer Vibes Upbeat fun song that makes me want to dance like it's summertime even if it's raining outside It's fun Yes, i've got very positive connotations associated with it, trips to the beach, hanging out with friends just good fun memories"
68,b,"Painting during my Gap Year I have a not so secret love for Justin Bieber and this track is just so good Good beat, the time just flies when you have good tracks to listen to Yes, it reminds me of painting bathrooms with my gap buddy singing at the top of our lungs and dancing around. "
69,a,"reminds me of seeing them live i like the song and my friend introduced me to this band so it reminds me of them i love the band and think its one of their best songs yes, it reminds me of when i saw the band live, and my friend who introduced me to them"
69,b,"Seeing the band live I used to love this band in high school, and listening to old songs i used to like is easy listening for me  I neither enjoy nor not enjoy this track, probably just because there are songs i like more and would rather listen to on my playlist.  yes, it reminds me of when i was in high school and big groups of my friends would go to gigs of this band"
70,a,The patriarchy. (The album the song's from has a song called 'patriarchaeth' on it) I saved the full album. Gwenno is a really interesting artist making modern electronic synthy stuff but singing in Welsh. It's a bit different and quite fun.  It's got lots of cool swirly synth sounds and dulcet welsh vocals Not really. It's from an album I like but nothing more than that.
70,b,Space (the album cover) It came on my discover weekly and I really enjoyed it It's got an anthemic feel to it whilst sounding modern and having some nice weird synth noises No. It came on my discover weekly and I've added it to a couple of playlists but it doesn't particularly mean anything to me
71,a,It reminds me of a safe place after a storm. The thrill is still there but calming down with the cool breeze and the sun shining through the clouds. I like to listen to playlists with songs that have similar tones and beats. This is a nice and relaxing song. It's also an interpretation of a classical tune which sounds cool in a jazz rendition. It's still mid Sunday morning when i'm doing this survey and it's come up as an appropriate track for this time of the day. It has enough variation to lift my mood but still has a calming effect. It gives me a familiar feeling. Maybe because i've known the tune for a long time and it really suits jazzy tones. It reminds me of my youth when i used to follow live jazz music around town.
71,b,"Sunny days, dance and fun. It's part of an uplifting playlist. I don't think i had a specific reason to save the track. I must have heard it somewhere and decided that it suits the mood of the playlist. It gives me positive feeling (even though the lyrics sound depressing, the music totally counteracts it).. I don't have a specific relationship but it feels like a place i'd like to be or hope to find."
72,a,"Dancing  I really like the beat It makes me think about dancing and good nights out, puts me in good mood I suppose Not really, its no different from a lot of tracks I have that make me feel the same thing"
72,b,"My little brother I like the song, it makes me think of summer and it's a fairly unusual song i guess It's quite fun, makes me think of summer Yes I suppose, makes me think of my little brother, he asked if I had it in my playlist once, and I said no, and he seemed so disappointed, so it's been in there since then"
73,a,"Played as a teenager, memories of concerts and friends it is beautiful Evokes happy memories and is familiar and calming played as a teenager"
73,b,"wine, friends, bars trumpet playing is brilliant and it is very uplifting it makes me smile  Not particularly, cant remember when i furst started to appreciate miles davis....feels like background to so many fun times"
74,a,It's really upbeat and quite settling to listen to./I own a number of stereophonic albums and really enjoy their music./It's catchy and easy to sing along to. The song builds up nicely to the chorus sections./No. I just enjoy music by the Stereophonics in general.
74,b,"Holidays, summer, and being away in the sun.\I purchased the song in 2014 when it was released and played it quite a lot during the summer.\It's a happy, upbeat song and remind me of the summer. However, because it's a little bit dated now and I over played it when it was initially released so I don't enjoy it quite as much as I do other songs.\Yes. It reminds me of 2014 during summer."
75,a,Great song.  I bought the album that this track is on as I like the band.  It's a great song by a band I like.  Yes. I've seen the band live and have listened to this track many many times.
75,b,"Manchester I bought the album that this track is on.  It's good but not my favourite Coldplay track. Yes, saw this band live, have more than one album. "
76,a,"That both me and my friend like this artist I saved the whole album, this song included It has a nice melody and I like the harmonies Not a particularly emotional one. I just have a relationship with it because I like it"
76,b,"Songs that I like that are similar to this song, like Bon iver songs It's uplifting, but also mellow It's dynamic.  There are memories, and lots of different instruments, lead vocals and backing vocals. Not an emotional relationship, I just like the song"
77,a,Its where my demons hide its where my demons hide /I like the song/It helps got out frustration /No its a song
77,b,Loude drum beat\Like song\Good base line\No it's a song
78,a,"When I was living in Spain/I love the lyrics,  I found them meaningful and the melody is very lively/Lively music/Yes,  I have been living in Spain for several years and this song is related to my experience over there."
78,b,"My friends\The melody is great\The melody gives you energy\Yes,  One of my friend is a big fan of this group and we went to watch the group perform (for this album).  I remember this night and my friend enthusiasm"
79,a,"I listen to it a lot when I walk, so I thought about the path between my dorm and a bus stop. I find it calming and it picks up my mood. I really like the singer's voice and the piano composition is really good. Yes? I tend to listen to it when i'm walking, so it's one of the first songs that I'll play on my way out of the door."
79,b,"Road trips with my family. Growing up I listened to a lot of my parents music, which influenced my own taste in music, and this is from one of the albums my dad plays in the car. I like the basic melody and the words get stuck in my head. Yeah, because the only times I really hear it is during a road trip so those moments are what immediately jump to mind when I hear this song."
80,a,"Florence's voice I enjoy listening to it. It sounds good and is catchy, so makes me want to sing along. The song is really catchy and has good lyrics & instruments. No, as there aren't any memories I specifically associate with it."
80,b,"The figure of Damon Albarn, singing along. I listen to it often. I really like how the instruments are played and Damon Albarns voice. The track makes me feel good. No, as i don't have any specific memories associated with it."
81,a,It makes me want to move.  Because I like it.  I like the way it makes me feel.  No
81,b,That I'm excited to hear it I like it I like the singer's voice and the structure of the song No
82,a,"It's catchy, and I find the rhythm just makes me want to groove to it /I saved it to my playlist because it's an easy to listen to song, and I like singing the chorus /I enjoy it because as I stated above it's easy to listen to - quite catchy - and I like singing the chorus /No not really, I just like the song"
82,b,"This song feels really deep and lonely to me, but even though it's sad I can relate to it. It feels nostalgic \I love the artist Ed Sheeran, and this song is so relevant to my life being at uni, so that's why it's in my playlist \I love this song, it's so peacefully sad, and it gets me wondering what other people are going through on that transition to uni. I can relate to the song, and even though it feels sad, sometimes it's nice to listen to sad songs to feel that overwhelming emotion \Yes - everything he is singing about I can relate to in a little way. Moving to uni, giving things up, leaving my partner in the first few weeks of uni, and having that struggle of getting over a relationship and keeping it under wraps, not to mention adjusting to a new life"
83,a,"Summer Because it is upbeat; I can sing along to it and it reminds me of summer freedom, sunshine and happiness. I enjoy listening to it because it brings back summer memories and it makes me feel happy. I wouldn't say I do. I like it, but it can get really annoying and I do not find the lyrics that personally meaningful. "
83,b,"Rebellion My friend showed me this song years ago and I really enjoyed the lyrics and the sound of the instruments. I enjoy listening to this song because the lyrics have a personal value to me. It also reminds me of a different chapter of my life and reminds me to reflect back of past decisions.  If I had to justify my relationship with this song in a sentence, it would be ''It just gets me.'' It is difficult to explain things like that, it is a feeling, an emotion. I cannot explain or rationalise it. "
84,a,"Takes me back to lonely times. I think about what a great song it is and wonder if I feel like listening to it on a beautiful day and then I decide no it's okay because I'm not feeling too lonely right now./it's a powerful song that i have often been glad to hear./It's a really well composed song and it's so authentic it really grabs me by the heart. It also has great musical ideas/I do, it reminds me of being away at school and feeling lonely and helpless"
