participant_id,track_id,full_response_text,code_level3,coded_text_excerpt
2,a,"Emotion I like the song and I really like the singers voice I like the groove of the chorus, I like his voice as it can be warm and melodic but also raspy and I like the style of the music, it's pop-rock No, but I have good memories of seeing the band live. I dont have a personal connection to the lyrics.",Emotion,Emotion
2,a,"Emotion I like the song and I really like the singers voice I like the groove of the chorus, I like his voice as it can be warm and melodic but also raspy and I like the style of the music, it's pop-rock No, but I have good memories of seeing the band live. I dont have a personal connection to the lyrics.",Event/Concert,"No, but I have good memories of seeing the band live. "
2,a,"Emotion I like the song and I really like the singers voice I like the groove of the chorus, I like his voice as it can be warm and melodic but also raspy and I like the style of the music, it's pop-rock No, but I have good memories of seeing the band live. I dont have a personal connection to the lyrics.",No relationship,"No, but I have good memories of seeing the band live. /  I dont have a personal connection to the lyrics."
2,b,"I saw Beth sing this live and she said the title comes from a quote by Leonard Cohen, when he said he wasn't a ""love gangster"", Beth decided this was a great title for a song It's from her new album, and I am a big fan of her songs It has a bluesy feel to it. I really like Beth Harts voice Well since leonard cohen died recently I think of this song as a sort of tribute to him. I am always emotionally invested in Beth Harts songs because she is a very honest and open songwriter and singer",Positive,"I saw Beth sing this live and she said the title comes from a quote by Leonard Cohen, when he said he wasn't a ""love gangster"", Beth decided this was a great title for a song It's from her new album, and I am a big fan of her songs/  I really like Beth Harts voice"
2,b,"I saw Beth sing this live and she said the title comes from a quote by Leonard Cohen, when he said he wasn't a ""love gangster"", Beth decided this was a great title for a song It's from her new album, and I am a big fan of her songs It has a bluesy feel to it. I really like Beth Harts voice Well since leonard cohen died recently I think of this song as a sort of tribute to him. I am always emotionally invested in Beth Harts songs because she is a very honest and open songwriter and singer",Musical Meaning,Well since leonard cohen died recently I think of this song as a sort of tribute to him/ I am always emotionally invested in Beth Harts songs because she is a very honest and open songwriter and singer
2,b,"I saw Beth sing this live and she said the title comes from a quote by Leonard Cohen, when he said he wasn't a ""love gangster"", Beth decided this was a great title for a song It's from her new album, and I am a big fan of her songs It has a bluesy feel to it. I really like Beth Harts voice Well since leonard cohen died recently I think of this song as a sort of tribute to him. I am always emotionally invested in Beth Harts songs because she is a very honest and open songwriter and singer",Performer," am always emotionally invested in Beth Harts songs because she is a very honest and open songwriter and singer, . I really like Beth Harts voice "
2,b,"I saw Beth sing this live and she said the title comes from a quote by Leonard Cohen, when he said he wasn't a ""love gangster"", Beth decided this was a great title for a song It's from her new album, and I am a big fan of her songs It has a bluesy feel to it. I really like Beth Harts voice Well since leonard cohen died recently I think of this song as a sort of tribute to him. I am always emotionally invested in Beth Harts songs because she is a very honest and open songwriter and singer",Vocals, I really like Beth Harts voice
2,b,"I saw Beth sing this live and she said the title comes from a quote by Leonard Cohen, when he said he wasn't a ""love gangster"", Beth decided this was a great title for a song It's from her new album, and I am a big fan of her songs It has a bluesy feel to it. I really like Beth Harts voice Well since leonard cohen died recently I think of this song as a sort of tribute to him. I am always emotionally invested in Beth Harts songs because she is a very honest and open songwriter and singer",Album,"I saw Beth sing this live and she said the title comes from a quote by Leonard Cohen, when he said he wasn't a ""love gangster"", Beth decided this was a great title for a song It's from her new album, and I am a big fan of her songs"
2,b,"I saw Beth sing this live and she said the title comes from a quote by Leonard Cohen, when he said he wasn't a ""love gangster"", Beth decided this was a great title for a song It's from her new album, and I am a big fan of her songs It has a bluesy feel to it. I really like Beth Harts voice Well since leonard cohen died recently I think of this song as a sort of tribute to him. I am always emotionally invested in Beth Harts songs because she is a very honest and open songwriter and singer",Artist ,"I saw Beth sing this live and she said the title comes from a quote by Leonard Cohen, when he said he wasn't a ""love gangster"", Beth decided this was a great title for a song It's from her new album, and I am a big fan of her songs/ I am always emotionally invested in Beth Harts songs because she is a very honest and open songwriter and singer"
2,b,"I saw Beth sing this live and she said the title comes from a quote by Leonard Cohen, when he said he wasn't a ""love gangster"", Beth decided this was a great title for a song It's from her new album, and I am a big fan of her songs It has a bluesy feel to it. I really like Beth Harts voice Well since leonard cohen died recently I think of this song as a sort of tribute to him. I am always emotionally invested in Beth Harts songs because she is a very honest and open songwriter and singer",Genre, It has a bluesy feel to it.
2,b,"I saw Beth sing this live and she said the title comes from a quote by Leonard Cohen, when he said he wasn't a ""love gangster"", Beth decided this was a great title for a song It's from her new album, and I am a big fan of her songs It has a bluesy feel to it. I really like Beth Harts voice Well since leonard cohen died recently I think of this song as a sort of tribute to him. I am always emotionally invested in Beth Harts songs because she is a very honest and open songwriter and singer",Event/Concert,"I saw Beth sing this live and she said the title comes from a quote by Leonard Cohen, when he said he wasn't a ""love gangster"", Beth decided this was a great title for a song It's from her new album, and I am a big fan of her songs"
3,a,The story told in the lyrics.  The lyrics are engaging & i wanted to be able to easily find the track. Its a relaxing beat with a complicated message which makes the song engaging.  no,Musical Expressive Characteristics,"Its a relaxing beat,  with a complicated message which makes the song engaging"
3,a,The story told in the lyrics.  The lyrics are engaging & i wanted to be able to easily find the track. Its a relaxing beat with a complicated message which makes the song engaging.  no,Lyrics,The story told in the lyrics. / The lyrics are engaging & i wanted to be able to easily find the track.
3,a,The story told in the lyrics.  The lyrics are engaging & i wanted to be able to easily find the track. Its a relaxing beat with a complicated message which makes the song engaging.  no,Musical Meaning,The story told in the lyrics. / Its a relaxing beat with a complicated message which makes the song engaging.
3,a,The story told in the lyrics.  The lyrics are engaging & i wanted to be able to easily find the track. Its a relaxing beat with a complicated message which makes the song engaging.  no,Beat,Its a relaxing beat with a complicated message which makes the song engaging.
3,a,The story told in the lyrics.  The lyrics are engaging & i wanted to be able to easily find the track. Its a relaxing beat with a complicated message which makes the song engaging.  no,Stress/Frustration/Tension,Its a relaxing beat with a complicated message which makes the song engaging.
3,a,The story told in the lyrics.  The lyrics are engaging & i wanted to be able to easily find the track. Its a relaxing beat with a complicated message which makes the song engaging.  no,Calm,Its a relaxing beat with a complicated message which makes the song engaging.
3,a,The story told in the lyrics.  The lyrics are engaging & i wanted to be able to easily find the track. Its a relaxing beat with a complicated message which makes the song engaging.  no,No relationship,no
3,b,Kendrick Lemar's verse  It's a very good song.  The various verses/ artists all in one track.  No,Positive, It's a very good song. 
3,b,Kendrick Lemar's verse  It's a very good song.  The various verses/ artists all in one track.  No,Song Structure/Composition,Kendrick Lemar's verse / The various verses/ artists all in one track.
3,b,Kendrick Lemar's verse  It's a very good song.  The various verses/ artists all in one track.  No,Artist ,Kendrick Lemar's verse / The various verses/ artists all in one track.
3,b,Kendrick Lemar's verse  It's a very good song.  The various verses/ artists all in one track.  No,No relationship,No
4,a,"Peaceful Gorgeous song, rich voice, really simple composition  Always calms me down; reminds me to look for what's beautiful  Yes -- although I'd maybe say ""connection"" instead of relationship; inspires an emotional response & have listened to it on repeat before ",Positive,"Peaceful Gorgeous song, rich voice, really simple composition "
4,a,"Peaceful Gorgeous song, rich voice, really simple composition  Always calms me down; reminds me to look for what's beautiful  Yes -- although I'd maybe say ""connection"" instead of relationship; inspires an emotional response & have listened to it on repeat before ",Familiar,"Yes -- although I'd maybe say ""connection"" instead of relationship;  inspires an emotional response & have listened to it on repeat before "
4,a,"Peaceful Gorgeous song, rich voice, really simple composition  Always calms me down; reminds me to look for what's beautiful  Yes -- although I'd maybe say ""connection"" instead of relationship; inspires an emotional response & have listened to it on repeat before ",Musical Expressive Characteristics,"Peaceful Gorgeous song, rich voice, really simple composition "
4,a,"Peaceful Gorgeous song, rich voice, really simple composition  Always calms me down; reminds me to look for what's beautiful  Yes -- although I'd maybe say ""connection"" instead of relationship; inspires an emotional response & have listened to it on repeat before ",Song Structure/Composition,"Peaceful Gorgeous song, rich voice, really simple composition "
4,a,"Peaceful Gorgeous song, rich voice, really simple composition  Always calms me down; reminds me to look for what's beautiful  Yes -- although I'd maybe say ""connection"" instead of relationship; inspires an emotional response & have listened to it on repeat before ",Vocals,"Peaceful Gorgeous song, rich voice, really simple composition "
4,a,"Peaceful Gorgeous song, rich voice, really simple composition  Always calms me down; reminds me to look for what's beautiful  Yes -- although I'd maybe say ""connection"" instead of relationship; inspires an emotional response & have listened to it on repeat before ",Emotion, inspires an emotional response & have listened to it on repeat before 
4,a,"Peaceful Gorgeous song, rich voice, really simple composition  Always calms me down; reminds me to look for what's beautiful  Yes -- although I'd maybe say ""connection"" instead of relationship; inspires an emotional response & have listened to it on repeat before ",Change Mood,Always calms me down; reminds me to look for what's beautiful /  inspires an emotional response & have listened to it on repeat before 
4,a,"Peaceful Gorgeous song, rich voice, really simple composition  Always calms me down; reminds me to look for what's beautiful  Yes -- although I'd maybe say ""connection"" instead of relationship; inspires an emotional response & have listened to it on repeat before ",Stress/Frustration/Tension,Always calms me down; reminds me to look for what's beautiful 
4,a,"Peaceful Gorgeous song, rich voice, really simple composition  Always calms me down; reminds me to look for what's beautiful  Yes -- although I'd maybe say ""connection"" instead of relationship; inspires an emotional response & have listened to it on repeat before ",Calm,"Peaceful Gorgeous song, rich voice, really simple composition  Gorgeous song, rich voice, really simple composition / Always calms me down; reminds me to look for what's beautiful "
5,a,Last summer 2016 I liked the song very much when I heard it for the first time. It makes me happy. It has nice melody and the cumbia rhythm makes me feel happy. I want to sing along and dance at the same time. Yes. This band is one of my favorites and this song brings happy summer feeling to me.,Positive, I liked the song very much when I heard it for the first time. 
5,a,Last summer 2016 I liked the song very much when I heard it for the first time. It makes me happy. It has nice melody and the cumbia rhythm makes me feel happy. I want to sing along and dance at the same time. Yes. This band is one of my favorites and this song brings happy summer feeling to me.,Favourite,This band is one of my favorites and this song brings happy summer feeling to me.
5,a,Last summer 2016 I liked the song very much when I heard it for the first time. It makes me happy. It has nice melody and the cumbia rhythm makes me feel happy. I want to sing along and dance at the same time. Yes. This band is one of my favorites and this song brings happy summer feeling to me.,Familiar,Yes
5,a,Last summer 2016 I liked the song very much when I heard it for the first time. It makes me happy. It has nice melody and the cumbia rhythm makes me feel happy. I want to sing along and dance at the same time. Yes. This band is one of my favorites and this song brings happy summer feeling to me.,Melody, It has nice melody and the cumbia rhythm makes me feel happy.
5,a,Last summer 2016 I liked the song very much when I heard it for the first time. It makes me happy. It has nice melody and the cumbia rhythm makes me feel happy. I want to sing along and dance at the same time. Yes. This band is one of my favorites and this song brings happy summer feeling to me.,Rhythm, It has nice melody and the cumbia rhythm makes me feel happy.
5,a,Last summer 2016 I liked the song very much when I heard it for the first time. It makes me happy. It has nice melody and the cumbia rhythm makes me feel happy. I want to sing along and dance at the same time. Yes. This band is one of my favorites and this song brings happy summer feeling to me.,Artist ,This band is one of my favorites and this song brings happy summer feeling to me.
5,a,Last summer 2016 I liked the song very much when I heard it for the first time. It makes me happy. It has nice melody and the cumbia rhythm makes me feel happy. I want to sing along and dance at the same time. Yes. This band is one of my favorites and this song brings happy summer feeling to me.,Discovery, I liked the song very much when I heard it for the first time.
5,a,Last summer 2016 I liked the song very much when I heard it for the first time. It makes me happy. It has nice melody and the cumbia rhythm makes me feel happy. I want to sing along and dance at the same time. Yes. This band is one of my favorites and this song brings happy summer feeling to me.,Time or Stage in Life,Last summer 2016
5,a,Last summer 2016 I liked the song very much when I heard it for the first time. It makes me happy. It has nice melody and the cumbia rhythm makes me feel happy. I want to sing along and dance at the same time. Yes. This band is one of my favorites and this song brings happy summer feeling to me.,Dancing, I want to sing along and dance at the same time.
5,a,Last summer 2016 I liked the song very much when I heard it for the first time. It makes me happy. It has nice melody and the cumbia rhythm makes me feel happy. I want to sing along and dance at the same time. Yes. This band is one of my favorites and this song brings happy summer feeling to me.,Singing ,I want to sing along and dance at the same time
5,a,Last summer 2016 I liked the song very much when I heard it for the first time. It makes me happy. It has nice melody and the cumbia rhythm makes me feel happy. I want to sing along and dance at the same time. Yes. This band is one of my favorites and this song brings happy summer feeling to me.,Summer,Last summer 2016 / This band is one of my favorites and this song brings happy summer feeling to me.
5,a,Last summer 2016 I liked the song very much when I heard it for the first time. It makes me happy. It has nice melody and the cumbia rhythm makes me feel happy. I want to sing along and dance at the same time. Yes. This band is one of my favorites and this song brings happy summer feeling to me.,Change Mood,This band is one of my favorites and this song brings happy summer feeling to me.
5,a,Last summer 2016 I liked the song very much when I heard it for the first time. It makes me happy. It has nice melody and the cumbia rhythm makes me feel happy. I want to sing along and dance at the same time. Yes. This band is one of my favorites and this song brings happy summer feeling to me.,Happiness-good mood, It makes me happy /  It has nice melody and the cumbia rhythm makes me feel happy. / This band is one of my favorites and this song brings happy summer feeling to me.
5,b,Summer and sunny days I like it a lot. It makes me happy. Not really.,Positive,I like it a lot.
5,b,Summer and sunny days I like it a lot. It makes me happy. Not really.,Season/time of day/weather,Summer and sunny days I like it a lot
5,b,Summer and sunny days I like it a lot. It makes me happy. Not really.,Summer,Summer and sunny days
5,b,Summer and sunny days I like it a lot. It makes me happy. Not really.,Happiness-good mood,. It makes me happy. 
5,b,Summer and sunny days I like it a lot. It makes me happy. Not really.,No relationship,Not really.
6,a,"Hit-Girl's hallway attack The Kick-ass soundtrack Great up beat tempo and fond memories Yes, it's in a great scene from my favorite movie",Positive,"Great up beat tempo and fond memories/ Yes, it's in a great scene from my favorite movie"
6,a,"Hit-Girl's hallway attack The Kick-ass soundtrack Great up beat tempo and fond memories Yes, it's in a great scene from my favorite movie",Favourite,"Yes, it's in a great scene from my favorite movie"
6,a,"Hit-Girl's hallway attack The Kick-ass soundtrack Great up beat tempo and fond memories Yes, it's in a great scene from my favorite movie",Familiar,"Yes, it's in a great scene from my favorite movie"
6,a,"Hit-Girl's hallway attack The Kick-ass soundtrack Great up beat tempo and fond memories Yes, it's in a great scene from my favorite movie",Musical Expressive Characteristics,"The Kick-ass soundtrack,Great up beat tempo "
6,a,"Hit-Girl's hallway attack The Kick-ass soundtrack Great up beat tempo and fond memories Yes, it's in a great scene from my favorite movie",Beat,Great up beat tempo and fond memories
6,a,"Hit-Girl's hallway attack The Kick-ass soundtrack Great up beat tempo and fond memories Yes, it's in a great scene from my favorite movie",Tempo ,Great up beat tempo and fond memories
6,a,"Hit-Girl's hallway attack The Kick-ass soundtrack Great up beat tempo and fond memories Yes, it's in a great scene from my favorite movie",Film,"Hit-Girl's hallway attack /  The Kick-ass soundtrack / Yes, it's in a great scene from my favorite movie"
7,a,"It makes me think about walking to work on a cool summer night. Because it's a great song that makes me feel positive emotions The way it makes me feel, the uniqueness of the singers voice, the cadence of the music Yes, it brings back fond memories of my home-town. Particularly first meeting me boyfriend. ",Positive,Because it's a great song that makes me feel positive emotions 
7,a,"It makes me think about walking to work on a cool summer night. Because it's a great song that makes me feel positive emotions The way it makes me feel, the uniqueness of the singers voice, the cadence of the music Yes, it brings back fond memories of my home-town. Particularly first meeting me boyfriend. ",Familiar,"Yes, it brings back fond memories of my home-town"
7,a,"It makes me think about walking to work on a cool summer night. Because it's a great song that makes me feel positive emotions The way it makes me feel, the uniqueness of the singers voice, the cadence of the music Yes, it brings back fond memories of my home-town. Particularly first meeting me boyfriend. ",Song Structure/Composition,"The way it makes me feel, the uniqueness of the singers voice, the cadence of the music "
7,a,"It makes me think about walking to work on a cool summer night. Because it's a great song that makes me feel positive emotions The way it makes me feel, the uniqueness of the singers voice, the cadence of the music Yes, it brings back fond memories of my home-town. Particularly first meeting me boyfriend. ",Vocals,"The way it makes me feel, the uniqueness of the singers voice, the cadence of the music "
7,a,"It makes me think about walking to work on a cool summer night. Because it's a great song that makes me feel positive emotions The way it makes me feel, the uniqueness of the singers voice, the cadence of the music Yes, it brings back fond memories of my home-town. Particularly first meeting me boyfriend. ",Emotion,"The way it makes me feel, the uniqueness of the singers voice, the cadence of the music "
7,a,"It makes me think about walking to work on a cool summer night. Because it's a great song that makes me feel positive emotions The way it makes me feel, the uniqueness of the singers voice, the cadence of the music Yes, it brings back fond memories of my home-town. Particularly first meeting me boyfriend. ",Place ,"Yes, it brings back fond memories of my home-town"
7,a,"It makes me think about walking to work on a cool summer night. Because it's a great song that makes me feel positive emotions The way it makes me feel, the uniqueness of the singers voice, the cadence of the music Yes, it brings back fond memories of my home-town. Particularly first meeting me boyfriend. ",Romantic relationship,Particularly first meeting me boyfriend. 
7,a,"It makes me think about walking to work on a cool summer night. Because it's a great song that makes me feel positive emotions The way it makes me feel, the uniqueness of the singers voice, the cadence of the music Yes, it brings back fond memories of my home-town. Particularly first meeting me boyfriend. ",Walking ,It makes me think about walking to work on a cool summer night
7,a,"It makes me think about walking to work on a cool summer night. Because it's a great song that makes me feel positive emotions The way it makes me feel, the uniqueness of the singers voice, the cadence of the music Yes, it brings back fond memories of my home-town. Particularly first meeting me boyfriend. ",Season/time of day/weather,It makes me think about walking to work on a cool summer night
7,a,"It makes me think about walking to work on a cool summer night. Because it's a great song that makes me feel positive emotions The way it makes me feel, the uniqueness of the singers voice, the cadence of the music Yes, it brings back fond memories of my home-town. Particularly first meeting me boyfriend. ",Summer,It makes me think about walking to work on a cool summer night
7,a,"It makes me think about walking to work on a cool summer night. Because it's a great song that makes me feel positive emotions The way it makes me feel, the uniqueness of the singers voice, the cadence of the music Yes, it brings back fond memories of my home-town. Particularly first meeting me boyfriend. ",Change Mood,"Because it's a great song that makes me feel positive emotions  / The way it makes me feel, the uniqueness of the singers voice, the cadence of the music "
7,a,"It makes me think about walking to work on a cool summer night. Because it's a great song that makes me feel positive emotions The way it makes me feel, the uniqueness of the singers voice, the cadence of the music Yes, it brings back fond memories of my home-town. Particularly first meeting me boyfriend. ",Happiness-good mood,Because it's a great song that makes me feel positive emotions
7,b,"It makes me feel sad because of the recent passing of the genius that is Bowie. Because Bowie is my favourite artist It is a classic Yes, this song makes me feel filled with energy and optimism.",Favourite, Because Bowie is my favourite artist
7,b,"It makes me feel sad because of the recent passing of the genius that is Bowie. Because Bowie is my favourite artist It is a classic Yes, this song makes me feel filled with energy and optimism.",Familiar," Yes, this song makes me feel filled with energy and optimism."
7,b,"It makes me feel sad because of the recent passing of the genius that is Bowie. Because Bowie is my favourite artist It is a classic Yes, this song makes me feel filled with energy and optimism.",Musical Expressive Characteristics, Because Bowie is my favourite artist It is a classic
7,b,"It makes me feel sad because of the recent passing of the genius that is Bowie. Because Bowie is my favourite artist It is a classic Yes, this song makes me feel filled with energy and optimism.",Artist ,It makes me feel sad because of the recent passing of the genius that is Bowie/  Because Bowie is my favourite artist
7,b,"It makes me feel sad because of the recent passing of the genius that is Bowie. Because Bowie is my favourite artist It is a classic Yes, this song makes me feel filled with energy and optimism.",Loss of a person,It makes me feel sad because of the recent passing of the genius that is Bowie
7,b,"It makes me feel sad because of the recent passing of the genius that is Bowie. Because Bowie is my favourite artist It is a classic Yes, this song makes me feel filled with energy and optimism.",Energy," Yes, this song makes me feel filled with energy and optimism."
7,b,"It makes me feel sad because of the recent passing of the genius that is Bowie. Because Bowie is my favourite artist It is a classic Yes, this song makes me feel filled with energy and optimism.",Happiness-good mood," Yes, this song makes me feel filled with energy and optimism."
7,b,"It makes me feel sad because of the recent passing of the genius that is Bowie. Because Bowie is my favourite artist It is a classic Yes, this song makes me feel filled with energy and optimism.",Sadness,It makes me feel sad because of the recent passing of the genius that is Bowie
8,a,"I remember positive worship experiences listening to this track, both on my phone and live at Church. I have a playlist of worship music I listen to regularly. I feel uplifted, by the music and also by the spiritual connection I feel when I worship. Yes, in the sense that I don't just passively listen but engage in an act of worship through listening or singing along with a heart open to my God.",Familiar," Yes, in the sense that I don't just passively listen but engage in an act of worship through listening or singing along with a heart open to my God. / Yes - reguarly listen to it since it's been released/ large mutual enjoyment with friends"
8,a,"I remember positive worship experiences listening to this track, both on my phone and live at Church. I have a playlist of worship music I listen to regularly. I feel uplifted, by the music and also by the spiritual connection I feel when I worship. Yes, in the sense that I don't just passively listen but engage in an act of worship through listening or singing along with a heart open to my God.",Musical Meaning," I feel uplifted, by the music and also by the spiritual connection I feel when I worship"
8,a,"I remember positive worship experiences listening to this track, both on my phone and live at Church. I have a playlist of worship music I listen to regularly. I feel uplifted, by the music and also by the spiritual connection I feel when I worship. Yes, in the sense that I don't just passively listen but engage in an act of worship through listening or singing along with a heart open to my God.",Playlist,I have a playlist of worship music I listen to regularly.
8,a,"I remember positive worship experiences listening to this track, both on my phone and live at Church. I have a playlist of worship music I listen to regularly. I feel uplifted, by the music and also by the spiritual connection I feel when I worship. Yes, in the sense that I don't just passively listen but engage in an act of worship through listening or singing along with a heart open to my God.",Personal Event,"I remember positive worship experiences listening to this track, both on my phone and live at Church"
8,a,"I remember positive worship experiences listening to this track, both on my phone and live at Church. I have a playlist of worship music I listen to regularly. I feel uplifted, by the music and also by the spiritual connection I feel when I worship. Yes, in the sense that I don't just passively listen but engage in an act of worship through listening or singing along with a heart open to my God.",Place ,"I remember positive worship experiences listening to this track, both on my phone and live at Church"
8,a,"I remember positive worship experiences listening to this track, both on my phone and live at Church. I have a playlist of worship music I listen to regularly. I feel uplifted, by the music and also by the spiritual connection I feel when I worship. Yes, in the sense that I don't just passively listen but engage in an act of worship through listening or singing along with a heart open to my God.",Family ,Yes - reguarly listen to it since it's been released/ large mutual enjoyment with friends
8,a,"I remember positive worship experiences listening to this track, both on my phone and live at Church. I have a playlist of worship music I listen to regularly. I feel uplifted, by the music and also by the spiritual connection I feel when I worship. Yes, in the sense that I don't just passively listen but engage in an act of worship through listening or singing along with a heart open to my God.",Singing ," Yes, in the sense that I don't just passively listen but engage in an act of worship through listening or singing along with a heart open to my God."
8,a,"I remember positive worship experiences listening to this track, both on my phone and live at Church. I have a playlist of worship music I listen to regularly. I feel uplifted, by the music and also by the spiritual connection I feel when I worship. Yes, in the sense that I don't just passively listen but engage in an act of worship through listening or singing along with a heart open to my God.",Create Atmosphere," Yes, in the sense that I don't just passively listen but engage in an act of worship through listening or singing along with a heart open to my God."
8,a,"I remember positive worship experiences listening to this track, both on my phone and live at Church. I have a playlist of worship music I listen to regularly. I feel uplifted, by the music and also by the spiritual connection I feel when I worship. Yes, in the sense that I don't just passively listen but engage in an act of worship through listening or singing along with a heart open to my God.",Change Mood," I feel uplifted, by the music and also by the spiritual connection I feel when I worship"
8,a,"I remember positive worship experiences listening to this track, both on my phone and live at Church. I have a playlist of worship music I listen to regularly. I feel uplifted, by the music and also by the spiritual connection I feel when I worship. Yes, in the sense that I don't just passively listen but engage in an act of worship through listening or singing along with a heart open to my God.",Happiness-good mood," I feel uplifted, by the music and also by the spiritual connection I feel when I worship"
8,b,"I don't recognise this, but it's peaceful. I remember looking for some music to support mindfulness meditation a while ago, and must have downloaded it then. I find it peaceful, I instinctively start to focus on my breathing and centre myself when I hear it. No, it isn't one I recall having actively listened to before.",Unfamiliar,"I don't recognise this, but it's peaceful/  No, it isn't one I recall having actively listened to before."
8,b,"I don't recognise this, but it's peaceful. I remember looking for some music to support mindfulness meditation a while ago, and must have downloaded it then. I find it peaceful, I instinctively start to focus on my breathing and centre myself when I hear it. No, it isn't one I recall having actively listened to before.",Musical Expressive Characteristics,"find it peaceful, I instinctively start to focus on my breathing and centre myself when I hear it."
8,b,"I don't recognise this, but it's peaceful. I remember looking for some music to support mindfulness meditation a while ago, and must have downloaded it then. I find it peaceful, I instinctively start to focus on my breathing and centre myself when I hear it. No, it isn't one I recall having actively listened to before.",Discovery," I remember looking for some music to support mindfulness meditation a while ago, and must have downloaded it then."
8,b,"I don't recognise this, but it's peaceful. I remember looking for some music to support mindfulness meditation a while ago, and must have downloaded it then. I find it peaceful, I instinctively start to focus on my breathing and centre myself when I hear it. No, it isn't one I recall having actively listened to before.",Calm,"I don't recognise this, but it's peaceful/  I find it peaceful, I instinctively start to focus on my breathing and centre myself when I hear it. "
8,b,"I don't recognise this, but it's peaceful. I remember looking for some music to support mindfulness meditation a while ago, and must have downloaded it then. I find it peaceful, I instinctively start to focus on my breathing and centre myself when I hear it. No, it isn't one I recall having actively listened to before.",No relationship," No, it isn't one I recall having actively listened to before."
9,a,Grime/stank face It's an absolute banger Sickest baseline Yes - reguarly listen to it since it's been released/ large mutual enjoyment with friends,Positive,It's an absolute banger/ Sickest baseline / Yes - reguarly listen to it since it's been released/ large mutual enjoyment with friends
9,a,Grime/stank face It's an absolute banger Sickest baseline Yes - reguarly listen to it since it's been released/ large mutual enjoyment with friends,Familiar,reguarly listen to it since it's been released
9,a,Grime/stank face It's an absolute banger Sickest baseline Yes - reguarly listen to it since it's been released/ large mutual enjoyment with friends,Musical Expressive Characteristics,"Grime/stank face, Sickest baseline"
9,a,Grime/stank face It's an absolute banger Sickest baseline Yes - reguarly listen to it since it's been released/ large mutual enjoyment with friends,Bass Line,Sickest baseline
9,a,Grime/stank face It's an absolute banger Sickest baseline Yes - reguarly listen to it since it's been released/ large mutual enjoyment with friends,Genre,Grime/stank face
