unique_id,speaker,sentence,1_opinion,2_mp,3_mp_context,4_stance_nli,5_stance_nli_context
20070131_45_2,MR. LACKER.,"""So the presumption would be that such information gets taken on board and reflected in the prices of new mortgage-backed securities and that it would translate into higher credit spreads at the retail level.""",no,,,,
19810203_554_1,MR. GRAMLEY.,"""On the basis of cost to banks alone.""",no,,,,
19821221_761_2,MS. TEETERS.,"""I would guess we ought to go to $175 million [rather than] $200 million, but I don't think it makes a lot of difference.""",yes,yes,sentence,,
20080318_3_2,CHAIRMAN BERNANKE.,"""Vice Chairman.""",no,,,,
19870211_197_1,VICE CHAIRMAN CORRIGAN.,"""And some worry, especially in the Japanese case, that they are really taking a terrible beating in their manufacturing sector now.""",no,,,,
19870211_349_4,CHAIRMAN VOLCKER.,"""So we're going to be very vague anyway.""",no,,,,
19821221_726_2,CHAIRMAN VOLCKER.,"""This states it the other way around, resulting from the introduction of the new money market accounts.""",no,,,,
19861216_354_5,CHAIRMAN VOLCKER.,"""The trouble is that this is getting too complicated, obviously.""",yes,,,,
19960326_52_3,MR. HOENIG.,"""Moreover, all seven states in the District added jobs at a fairly robust pace in January.""",no,,,,
20081029_202_3,MR. LOCKHART.,"""The sentiment of directors and their contacts has turned decidedly more pessimistic regarding current economic conditions and the near-term outlook.""",no,,,,
19811222_502_1,MR. STERNLIGHT.,"""The discount rate becomes a kind of anchor around which the funds rate clusters once there's enough borrowing to make that discount rate meaningful.""",no,,,,
20061025_32_5,MR. PLOSSER.,"""That distinction is part of it, as is whether the way you estimate the cyclical component of employment and so forth affects the forecast and whether it adjusts very quickly or very slowly in shaping the picture going forward, particularly into 2007 and 2008.""",no,,,,
20080625_172_1,CHAIRMAN BERNANKE.,"""I think the Vice Chairman raises an interaction that I hadn't thought of, which is that our facilities are existing under the premise of unusual and exigent circumstances, and we don't really want to undercut that.""",yes,no,,,
19931116_620_3,MR. ANGELL.,"""Now, if you want to make a substitute motion and reverse the order, that's your privilege.""",no,,,,
19980929_275_3,VICE CHAIRMAN MCDONOUGH.,"""What did we learn there?""",no,,,,
19891219_5_13,MR. PRELL.,"""Dave will begin.""",no,,,,
19770517_46_3,MR. ROOS.,"""And the farmer's ability to repay in many instances is limited by the income that he can earn off of working that land.""",no,,,,
19930203_275_3,MR. KEEHN.,"""In a perfect world, frankly, that's what I'd prefer.""",yes,yes,utterance,contradiction,utterance
19790320_74_19,MR. BLACK.,"""If so, that's an important reason for not doing anything at this particular time.""",yes,yes,utterance,contradiction,
19850820_329_1,CHAIRMAN VOLCKER.,"""That's not going to happen that fast.""",yes,,,,
19970702_157_4,MR. PARRY.,"""So, this exhibit seems encouraging to me, but it also illustrates that it would be a mistake to assume that velocity is now stable.""",yes,yes,,ambiguous,
19870331_49_1,MR. CROSS.,"""[Statement--see Appendix.]""",no,,,,
19770816_90_2,MR. ROOS.,"""In looking back over the year and a half that I've had the privilege of attending these meetings, and listening to inputs such as we're presently providing, that year and a half in terms of business conditions has been a strong period.""",no,,,,
19880630_387_2,CHAIRMAN GREENSPAN.,"""The asymmetric language indicates the direction in which the Desk would be leaning without necessarily acting.""",no,,,,
19860401_45_2,CHAIRMAN VOLCKER.,"""Is it basically lower interest rates, or what?""",no,,,,
19860401_268_1,VICE CHAIRMAN CORRIGAN.,"""Well, my instincts tell me that sentence probably should be symmetrical even though 7 weeks is a long time.""",yes,no,,,
19850521_166_7,MR. RICE.,"""Having said that, I would favor alternative B with a tilt toward ""A."" By that I mean that I would be willing to relax borrowing a little below Jerry's recommendation and more in accord with the borrowing that we would expect to be compatible with alternative B--in the $300 to $350 million range.""",yes,yes,sentence,contradiction,utterance
19880630_329_1,CHAIRMAN GREENSPAN.,"""If we go for alternative III and it turns out to have to be reversed, too, you would be in the same position.""",no,,,,
19790522_194_1,M R . COLDWELL.,"""Mr. Chairman, the ranges Steve suggested are just about one half point off my suggestion.""",no,,,,
19930518_201_2,CHAIRMAN GREENSPAN.,"""We haven't discussed the fact that we do have a policy record--I beg your pardon, minutes.""",no,,,,
20030625_297_6,CHAIRMAN GREENSPAN.,"""But I would hope that we could stay with this language for today.""",yes,no,,,
19860923_322_2,MR. JOHNSON.,"""I'm torn about nuances.""",yes,yes,,,
19890328_253_2,MR. BOYKIN.,"""Looking at the District, our recent performance and the near-term prospects for our economy continue to improve.""",no,,,,
20030129_353_6,MS. BIES.,"""While jobs are declining, personal income continues to grow at a modest pace.""",no,,,,
19921117_42_9,MR. PARRY.,"""The weakness that we're seeing in California certainly is a concern.""",yes,,,,
19990203_69_2,MR. JORDAN.,"""Under what circumstances would we wind up having in the portfolio euro-denominated obligations of other taxing authorities besides the Germans?""",no,,,,
20080318_128_5,CHAIRMAN BERNANKE.,"""President Plosser made the correct point that we need to think about the level of the funds rate.""",yes,yes,sentence,contradiction,utterance
19921117_163_17,MR. BOEHNE.,"""We've done a study, we have some good reasons, and we can explain our action in a letter.""",no,,,,
19931221_310_3,MR. MELZER.,"""I do agree with what Susan was saying before--that this will be the basis for singling out individuals and criticizing them and it won't be the end of it.""",yes,no,,,
19771220_57_1,MR. O'CONNELL.,"""I believe that would be fairly read as a denial of the request for the information sought.""",yes,no,,,
19950706_176_13,MR. LINDSEY.,"""This, of course, is very, very early in the process.""",no,,,,
19891219_843_2,MR. JOHNSON.,"""[in the directive language] during that weakness?""",no,,,,
19980331_208_10,MR. BERNARD.,"""Yes""",ambiguous,,,,
19801021_442_1,CHAIRMAN VOLCKER.,"""It won't affect the borrowings.""",no,,,,
19840327_247_3,CHAIRMAN VOLCKER.,"""Has it got the document attached?""",no,,,,
19770215_262_7,MR. KIMBREL.,"""I think that would serve us better for this immediate period.""",yes,yes,utterance,contradiction,-200+ tokens
19831220_180_3,CHAIRMAN VOLCKER.,"""You don't have to address it now unless you want to.""",no,,,,
19800205_286_10,MR. BALLES.,"""And that, by the same reasoning, translates into a surplus of $12 billion in 1981.""",no,,,,
20010627_34_5,CHAIRMAN GREENSPAN.,"""Indeed, that's obviously the case if we listen to what he's doing and how he's calculating it.""",no,,,,
19930921_95_10,MR. HOENIG.,"""[Laughter] I'm only half kidding!""",no,,,,
19961113_153_2,MR. BERNARD.,"""In the context of the Committee's long-run objectives for price stability and sustainable economic growth, and giving careful consideration to economic, financial, and monetary developments, somewhat greater reserve restraint would or slightly lesser reserve restraint might be acceptable in the intermeeting period.""",yes,yes,sentence,,
19860819_489_1,MR. PARRY.,"""Isn't one possibility just to maintain the $300 million and when a discount rate change occurs, if it does, to revisit the issue of reserves at that time?""",no,,,,
20080916_125_15,MR. STERN.,"""As far as language is concerned with regard to B, I would be inclined to give more prominence to financial issues.""",yes,yes,utterance,contradiction,
19770118_123_1,MR. O'CONNELL.,"""There has to be a publication within a framework of 30 days for comment, then a review of the comments and a simultaneous oversight review by the Administrative Conference of the United States under the terms of the statute.""",no,,,,
19990518_171_1,MR. MOSKOW.,"""Mr. Chairman, I agree with your recommendations of an asymmetric tilt and an immediate announcement.""",yes,yes,sentence,entailment,utterance
19890822_286_3,MR. JOHNSON.,"""There are plenty of countries that finance that quite easily as long as it's going for sustainable private-sector investment.""",no,,,,
19821005_212_4,CHAIRMAN VOLCKER.,"""But that--""",no,,,,
19920701_276_3,MR. LINDSEY.,"""If in fact we go up [to Congress] and say that we are uncertain about where things are temporarily, that's one thing.""",no,,,,
19810203_292_2,CHAIRMAN VOLCKER.,"""Each month during that autumn period all the projections said it was going to level off this month.""",no,,,,
19851217_111_3,MR. BLACK.,"""I think you just put your finger on the key issue: What it is going to do from now on.""",yes,yes,utterance,,
19980818_176_4,MR. MOSKOW.,"""So, I would have a slight preference for an asymmetric directive but I can support a symmetric directive.""",yes,yes,sentence,contradiction,utterance
19940706_68_6,MR. JORDAN.,"""But the dollar now is not consistent with the objective.""",no,,,,
19840717_526_2,MR. PARTEE.,"""certainly couldn't have been much worse than it was and looks like a continuing problem, and it doesn't seem to have shaken the market any more.""",no,,,,
19951219_179_4,MR. BLINDER.,"""I don't see a reason to keep it there.""",yes,yes,utterance,contradiction,utterance
19931116_839_2,MR. KELLEY.,"""I see very little evidence of an important change.""",yes,yes,utterance,contradiction,utterance
19831004_103_1,MS. TEETERS.,"""Didn't a judge down there overturn one of the restructurings?""",no,,,,
20001219_14_2,MR. FISHER.,"""That is, the overall hedging market at the short end of the yield curve is so much deeper than at the current longer end of the yield curve, the 10-year, that the result is this exaggerated swing.""",no,,,,
19900327_407_3,MR. BLACK.,"""The other is that members of Congress become concerned about the losses and try to exert political pressure on us so that we don't have to take those losses, which would mean pressure to ease policy.""",no,,,,
20041214_157_5,CHAIRMAN GREENSPAN.,"""We can't get around it.""",no,,,,
19780815_325_2,MR. COLDWELL.,"""The Treasury and us.""",no,,,,
19870211_368_2,CHAIRMAN VOLCKER.,"""My principal concern is that we should warn them that under those circumstances, which may or may not eventually occur, we expect a pretty low Ml.""",yes,yes,sentence,entailment,-5 sentences
19910703_136_13,MR. PARRY.,"""Like the Greenbook, we expect a decline in inflation over the next year and a half.""",no,,,,
19830209_966_4,VICE CHAIRMAN SOLOMON.,"""If we want to defer that easing, okay, we can defer it.""",no,,,,
19790206_143_2,CHAIRMAN MILLER.,"""Dave.""",no,,,,
19920205_88_3,MR. SIMPSON.,"""And the announcements of reverse LBOs and so forth suggest that there still is more room to go in that area.""",no,,,,
19800318_292_1,CHAIRMAN VOLCKER.,"""""C"" is 5 percent for the first two quarters, as I have calculated it, and the midpoint [of our annual target] is 4-3/4 percent.""",no,,,,
20050630_71_1,MR. GALLIN.,"""Let me note just one last thing.""",no,,,,
19950706_274_2,MS. PHILLIPS.,"""I find myself quite frustrated with this discussion.""",yes,yes,,,
19780516_161_5,MR. STERNLIGHT.,"""There are those reasons for their being sold--foreign accounts, captive-type customers, and others who [unintelligible].""",no,,,,
19811117_513_3,VICE CHAIRMAN SOLOMON.,"""And I think that is much more meaningful to an economic recovery.""",yes,yes,,ambiguous,
19901113_269_18,MR. BOYKIN.,"""We had a joint meeting last week of all four of our boards of directors and the comments made at that meeting certainly confirmed what our statistics are saying.""",no,,,,
19990630_78_2,MR. STERN.,"""That's fine.""",yes,no,,,
19830209_596_3,MR. AXILROD.,"""We didn't think that there was room for any more private credit within the monetary targets and given the government's [needs].""",yes,yes,sentence,,
19960521_201_7,MR. KELLEY.,"""One of the pleasures of my job is that I get to discuss goals with all 12 Reserve Banks.""",no,,,,
19840717_134_1,MR. WALLICH.,"""My numbers are on the high side of the forecasts, but not extraordinarily so.""",no,,,,
19891219_199_1,MR. ANGELL.,"""Well, take table 1 of Mike's December 14th""",no,,,,
20040128_90_7,MR. GRAMLICH.,"""So I would be for gradual evolution.""",yes,no,,,
20001219_95_8,MR. POOLE.,"""Back in May when we raised it to 6-1/2 percent, some rates were above and some rates were below.""",no,,,,
20080805_185_4,CHAIRMAN BERNANKE.,"""[Laughter] I listened very carefully to what has been said.""",no,,,,
19861105_58_1,MR. PARRY.,"""Are there any indicators that support the slowing in state and local spending to that extent?""",no,,,,
19960326_54_9,MR. MCTEER.,"""Retail sales along the border area have improved a little lately.""",no,,,,
19840327_933_1,MR. BOYKIN.,"""That was the question I wanted to ask: If we take ""B"" as specified and say 7 to 11 percent, have we done anything?""",no,,,,
20061212_151_2,CHAIRMAN BERNANKE.,"""President Pianalto.""",no,,,,
19860212_389_7,MR. MARTIN.,"""We will release the record of policy actions for December in a couple of days, so we are going to release some interesting numbers one day and some interesting history the next day.""",no,,,,
20010515_140_1,MR. FERGUSON.,"""Thank you, Mr. Chairman.""",no,,,,
19850326_230_2,MR. STERNLIGHT.,"""We have been making an allowance in this current reserve period; even though $600 million is in there for excess reserves, we've been thinking of it as somewhat higher and not rushing in to take out what has looked over the last couple of days, for example, like more than enough reserves for the path.""",no,,,,
19901002_412_3,MR. HOSKINS.,"""I don't see that yet, and that's why I'm having a little trouble right now.""",yes,yes,utterance,,
19850710_856_4,CHAIRMAN VOLCKER.,"""We could if you wanted to.""",no,,,,
19890516_451_4,MR. BOYKIN.,"""But it seems to me that more or less what I'm hearing is the commitment for a conference call before the next meeting, which gives the opportunity to make any slight adjustment if that's wrong.""",no,,,,
20070321_172_15,MR. WARSH.,"""The most important thing that we're accomplishing in alternative B is suggesting that we aren't going to come to the rescue of market tumult, that market discipline is working, that we don't want complacency in the markets, and that our job is not to make sure that people make money in those markets.""",yes,yes,,contradiction,utterance
19990630_256_4,MR. BERNARD.,"""Yes Governor Gramlich""",no,,,,
19910703_136_4,MR. PARRY.,"""However, I should point out that total District employment still remains 0.4 of a percent above the May 1990 level, with California the only District state to lose employment over the year.""",no,,,,
19770719_282_1,CHAIRMAN BURNS.,"""Any other questions or comment.""",no,,,,
19771220_294_1,MR. PARTEE.,"""But the exchange rate is taken in for financial assets, and therefore they will have appreciation.""",no,,,,
20081216_51_2,MR. LACKER.,"""It guarantees the commercial paper rate.""",no,,,,
19861216_613_2,CHAIRMAN VOLCKER.,"""Presumably, the directive will get interpreted in that light anyway, which [unintelligible] arguments.""",no,,,,
20051101_12_2,MR. REINHART.,"""[Laughter]""",no,,,,
19790918_13_5,MR. PARDEE.,"""It's just that we are caught in this box.""",no,,,,
19830209_1050_2,MR. BOEHNE.,"""I think we have to ease the funds rate down to around 8 percent before a discount rate cut.""",yes,yes,sentence,contradiction,sentence
19770517_244_1,MR. MORRIS.,"""Mr. Chairman, could I clarify your proposal?""",no,,,,
19861216_430_4,MR. KICHLINE.,"""It's a shade weaker than we had built into the forecast, but not much.""",no,,,,
19990203_250_1,CHAIRMAN GREENSPAN.,"""We can make a lot of changes ourselves because the statute itself is not all the explicit.""",no,,,,
19770816_320_1,CHAIRMAN BURNS.,"""May I just say I don't think that that recommendation is consistent with your recommendation on lowering the limits for M1.""",yes,yes,sentence,neutral,
19820701_587_8,CHAIRMAN VOLCKER.,"""Then we'd come to our federal funds limitation, anyway, at some point.""",no,,,,
19850710_105_13,MR. STERN.,"""You hear about layoffs in high-tech companies or one or two of the computer firms and you get the impression that employment is dropping, net; and yet you look at the data and [don't see it].""",no,,,,
19831115_700_1,CHAIRMAN VOLCKER.,"""Put 5 to 6 percent?""",no,,,,
19981117_284_2,MR. BERNARD.,"""Vice Chairman McDonough Yes Governor Ferguson""",no,,,,
20031209_219_13,CHAIRMAN GREENSPAN.,"""We can go later than that if you want.""",no,,,,
19780418_326_8,MR. COLDWELL.,"""[regarding] my expectations for the economy--that we are going to attack this inflation rate promptly and are likely to slow down the economy in the latter part of this year.""",no,,,,
19800318_360_1,MR. SCHULTZ.,"""Unless we have a meeting.""",no,,,,
19830713_1050_1,MR. BLACK.,"""You have to rewrite this.""",yes,no,,,
20040504_182_14,MR. BROADDUS.,"""Jack, of course, is the President of the Atlanta Fed, which is the Sixth Federal Reserve District.""",no,,,,
19900207_372_1,MR. BLACK.,"""Some of you are still there!""",no,,,,
20000202_212_3,MR. GUYNN.,"""I don't know whether we are going to talk about that some more this morning or not.""",no,,,,
19851105_49_9,MS. HORN.,"""but I think now their view is that the fiscal impasse will remain an impasse.""",no,,,,
19800422_62_2,MR. AXILROD.,"""My memory is that there is genuine weakness in the unadjusted deposits.""",no,,,,
19780228_243_4,MR. WILLES.,"""[Inflation] does seem to be a concern that more of our people have, and for that reason the major difference we have with the staff forecast is on their expectation of inflation.""",no,,,,
19770118_143_3,CHAIRMAN BURNS.,"""And let's take perhaps a short break, coffee break, if you so wish.""",no,,,,
19770419_276_12,MR. GARDNER.,"""We are asked to do this tentatively, subject to our afterthoughts after the President's program is announced, and for that reason I would be happy with leaving M1 alone at the moment.""",yes,yes,sentence,entailment,utterance
19770517_246_1,MR. MORRIS.,"""Well, I think that my feeling, Mr. Chairman, is that we ought to make a bigger move right now.""",yes,yes,utterance,entailment,-5 sentences
19770621_411_1,MR. O'CONNELL.,"""Yes, I think that, too, can be a matter to await a decision.""",yes,no,,,
19770719_81_5,MR. ZEISEL.,"""But on the negative side, we've had an extremely rapid recovery recently in residential construction activity.""",no,,,,
19770816_286_1,MR. MAYO.,"""Oh, I understand that, Steve.""",no,,,,
19771018_266_3,CHAIRMAN BURNS.,"""But I've got to go to another meeting, and I believe the Bank Presidents have scheduled a meeting to start at 5:00.""",no,,,,
19771018_435_2,MR. PARTEE.,"""I look at the economy and I wonder whether it's the kind of an economy in which we want to have a substantial rise in interest rates, a substantial shift in the flow of funds away from the thrifts and the banks into the market, and the characteristics of a tightening in the old terms, a tightening financial environment.""",yes,yes,sentence,contradiction,utterance
19771018_442_2,CHAIRMAN BURNS.,"""Now, Mr. Lilly, you got this room cooled off.""",no,,,,
19771115_137_2,MR. BLACK.,"""I just mean over the future.""",no,,,,
19780117_208_2,CHAIRMAN BURNS.,"""I've had a similar meeting with Mr. Reuss.""",no,,,,
19780117_389_8,VICE CHAIRMAN VOLCKER.,"""But you know in another way, I felt this was a very onerous job, Mr. Chairman, psychologically.""",yes,no,,,
19780228_151_4,MR. HOLMES.,"""Hopefully, we won=t have to [breach] that.""",yes,,,,
19780321_65_4,CHAIRMAN MILLER.,"""Then our choices are going to narrow down to whether we'll take a lower growth rate in our economy, because it doesn't look like we are getting the relative speedup in other economies.""",yes,,,,
19780321_270_15,VICE CHAIRMAN VOLCKER.,"""I don't know whether that bill is absolutely going to pass.""",yes,,,,
19780321_363_2,MR. WILLES.,"""What happens now is that it all seems patently inconsistent to the public because we appear to be tightening when there's no reason and we appear to be easing when there's no reason.""",yes,yes,sentence,,
19780418_7_1,MR. PARDEE.,"""Well, I haven't seen-- We had one day or two days on which the dollar rose.""",no,,,,
19780418_137_9,MR. WILLES.,"""It was interesting to me that I found nobody below 7 percent.""",no,,,,
19780418_425_1,MR. PARTEE.,"""I would be very much opposed to taking it out.""",yes,no,,,
19780516_107_3,MR. WALLICH.,"""We are likely to get another bad month in April because we've had a bad wholesale price index.""",no,,,,
19780516_111_4,MR. COLDWELL.,"""I am especially worried about price pressures, which I view as very strong; and if fed by the availability of credit, they will intensify.""",yes,yes,sentence,entailment,sentence
19780516_392_6,MR. BLACK.,"""Otherwise, I think we act at the same trigger point.""",yes,no,,,
19780718_104_1,MR. BAUGHMAN.,"""Mr. Chairman, I think we still have significant expansive elements in the economy and I share what I think is the staff's view that the distortions are not yet great enough, and that it will take a fair time for them to become great enough, to terminate the expansive influences.""",yes,yes,sentence,,
19780919_48_1,MR. PARTEE.,"""I think it depends partly, Mr. Chairman, on what you think the intervention is for.""",yes,no,,,
19780919_59_10,MR. KICHLINE.,"""I think a major difference in these forecasts relates to consumer spending patterns.""",yes,no,,,
19781017_228_12,MR. WILLES.,"""The only way we can make the adjustment is to figure out what we think the most likely adjustment is.""",yes,,,,
19781219_257_2,VICE CHAIRMAN VOLCKER.,"""This is the basic limit and I think the Committee probably ought to have one.""",yes,no,,,
19781219_409_1,CHAIRMAN MILLER.,"""It comes up every meeting because I don't know that you can bind future FOMCs to having only certain spreads.""",yes,no,,,
19790522_398_2,MR. BALLES.,"""I have real reservations about going up to $2 billion, based on a very skeptical attitude regarding decisions on what constitutes excessive movements one way or another vis-a-vis what the market is saying.""",yes,no,,,
19790814_299_5,CHAIRMAN VOLCKER.,"""Well, let's go all the way and say acceptable.""",yes,yes,utterance,ambiguous,
19790918_21_2,CHAIRMAN VOLCKER.,"""I don't know what that implies.""",no,,,,
19790918_261_1,MR. COLDWELL.,"""If I had a preference straight out, the range would be 3 to 7 percent, but I'm persuaded that with the present projection 8 percent growth is a possibility.""",yes,yes,,entailment,-5 sentences
19791006_29_13,CHAIRMAN VOLCKER.,"""We wouldn't be here today if we didn't have a problem with the state of the markets, whether international or domestic.""",yes,no,,,
19800109_597_1,MR. COLDWELL.,"""You mean we should react more rapidly if M1 growth goes up with the interest rates falling than if M1 growth went down and interest rates were rising.""",no,,,,
19800205_86_8,MR. WILLES.,"""And yet if we structure that penalty in the right way, in fact, we're not going to give away much in terms of sloppiness in the reserve figures.""",yes,,,,
19800422_154_9,MS. TEETERS.,"""And we're obviously not going to have very many automobiles built.""",no,,,,
19800520_339_1,MR. WALLICH.,"""Why don't you let individual members of the Committee call you when they think that Chuck's zone is being approached?""",no,,,,
19800709_317_2,CHAIRMAN VOLCKER.,"""And I'm not arguing for changing the ranges; but I just don't want to associate any change, particularly in this case when we could argue that we have a technical reason for making the change, with playing games.""",yes,no,,,
19800709_423_1,CHAIRMAN VOLCKER.,"""It calls for a decision, but I don't know that it says how it has to go in [the directive].""",yes,,,,
19800916_135_1,MR. KICHLINE.,"""Well, I am referring to the nonfarm business sector.""",no,,,,
19801021_27_1,MR. SCHULTZ.,"""But we're coming up pretty close to the limit right now.""",no,,,,
19801021_331_1,CHAIRMAN VOLCKER.,"""It's just the opposite of what we did last time.""",no,,,,
19801219_195_5,MR. WALLICH.,"""And we would get some of the protection that you have in mind, Chuck.""",no,,,,
19810331_161_2,MR. PARTEE.,"""I think we have to be very clear in terms of what the understandings are.""",yes,no,,,
19810331_379_5,CHAIRMAN VOLCKER.,"""I'm a little surprised that you came out for ""C."" It's against that background that I ask this.""",yes,yes,utterance,neutral,utterance
19810518_229_8,VICE CHAIRMAN SOLOMON.,"""I'm influenced not only by the strength of the economy--and there is a widespread feeling around the country, and certainly in the market, that with the exception of the troubled sectors the economy is very strong--but I'm also influenced by the fact that if the President's program goes through, even with a compromise on the tax cut package, the fourth quarter is likely to be much stronger, and the third quarter probably somewhat stronger, than the present quarter.""",yes,yes,,entailment,utterance
19810518_268_11,MR. CORRIGAN.,"""As I suggested earlier, there are some risks here, and I think we have to be prepared to take some risks.""",yes,yes,utterance,entailment,utterance
19810518_579_1,SPEAKER(?).,"""No, I was going to vote--""",no,,,,
19811006_481_3,CHAIRMAN VOLCKER.,"""If it's $4 or $5 billion, we wouldn't be.""",no,,,,
19811117_56_1,MR. BLACK.,"""That would be interesting to watch over time.""",yes,yes,-5 sentences,,
19811222_106_1,MR. KEEHN.,"""On the specific question--I'll comment [on my general views] later--I think there has been within the last 30 to 45 days a decided shift on the part of labor out our way.""",yes,no,,,
19811222_433_5,MR. BALLES.,"""So, despite all of our frustrations about what money is, how it behaves, and what should be in M1 and M2, it is still the only game in town as far as I am concerned.""",yes,yes,sentence,,
19820330_97_3,MR. AXILROD.,"""I would not really want to give any technical advice on that particular point.""",yes,no,,,
19820824_193_4,CHAIRMAN VOLCKER.,"""I'm just making a technical point.""",no,,,,
19821005_179_4,CHAIRMAN VOLCKER.,"""I don't know whether we can [unintelligible] that issue.""",yes,no,,,
19821221_170_1,MR. AXILROD.,"""Well, that would only be if the Committee wanted to; we just suggested that.""",no,,,,
19821221_190_8,MR. BOEHNE.,"""But I certainly would stay quite flexible, with a sharp eye on interest rates.""",yes,yes,sentence,neutral,utterance
19821221_256_1,CHAIRMAN VOLCKER.,"""Well, what I understand is that we were asked to give a Committee or a Board forecast.""",no,,,,
19821221_402_2,CHAIRMAN VOLCKER.,"""Well, we just have to wait and see.""",yes,no,,,
19821221_635_1,MR. BALLES.,"""Just to nail that down once more, how many points off the M2 numbers in the Bluebook?""",no,,,,
19830209_412_1,CHAIRMAN VOLCKER.,"""Yes, but you're saying if your velocity assumption is wrong.""",no,,,,
19830209_973_2,CHAIRMAN VOLCKER.,"""Just to be clear, I think the second part would reflect a view that right now we don't want to tighten, which is implied by the existing language but is not quite as clear.""",yes,yes,sentence,,
19830524_272_2,MR. BOEHNE.,"""I think things are sort of at an even keel and if business and mortgage markets thought that the low rates were over and that rates not only were not going to stay about where they are but were going to back up, that would have a major negative impact on psychology.""",yes,yes,sentence,contradiction,sentence
19840327_252_1,MR. PARTEE.,"""It is conceivable that we might have some embarrassments looking ahead.""",yes,no,,,
19840327_692_1,CHAIRMAN VOLCKER.,"""I think you're back at the wording of the directive.""",yes,,,,
19840522_115_1,CHAIRMAN VOLCKER.,"""If those banks down in Atlanta aren't worried about Continental, I assume they are fully funded.""",no,,,,
19840821_21_4,MR. PARTEE.,"""I seem to recall that we observed the same kind of phenomenon when Franklin borrowed sizable amounts in the summer of 1974, and I'm wondering whether there isn't something about the channels of distribution that could have some marginal impact on the rate relationship.""",yes,yes,,,
19840821_268_1,VICE CHAIRMAN SOLOMON.,"""But we don't know how long that shift will persist.""",no,,,,
19850213_207_5,CHAIRMAN VOLCKER.,"""Maybe we can dispose of that issue quickly, if you haven't changed your opinion.""",no,,,,
19850521_132_1,MR. AXILROD.,"""I think what you're observing is the interest sensitivity of M1.""",yes,yes,sentence,,
19851001_128_10,MR. FORRESTAL.,"""If there were extreme changes in the value of the dollar one way or the other, I think that we ought to move aggressively.""",yes,yes,sentence,contradiction,utterance
19851217_422_12,MR. MORRIS.,"""But there's a long time until the next meeting; and if the dollar should start strengthening in the exchange markets, I would lead off with a cut in the discount rate.""",yes,yes,sentence,contradiction,sentence
19860212_153_8,MR. GUFFEY.,"""I will just make one observation with respect to the energy situation and how it may impact my District.""",no,,,,
19860819_299_6,CHAIRMAN VOLCKER.,"""I can't entirely exclude a move, but the straight answer to your question is: I wouldn't count on it purely because of [concern about] exchange rate movements.""",yes,no,,,
19861216_442_16,MR. BOYKIN.,"""So, while there is not anything really to brag about openly, we are going to go along and gradually improve.""",no,,,,
