passage_id,date,article_type,title,url,passage_text,code
5,9/18/13,Business,"Inspired by Professor, Investor Makes Big Gift for Black Studies",https://dealbook.nytimes.com/2013/09/17/inspired-by-professor-investor-makes-big-gift-for-black-studies,"Now their work and Mr. Hutchins’s money will create the Hutchins Center, named at the insistence of Professor Gates. It will unite nine entities, including the W. E. B. Du Bois Institute for African and African-American  Research, the Hiphop Archive and Research Institute and the Ethelbert Cooper Gallery of African and African American Art.",Out of the Mouth of Academics
6,3/30/13,Opinion,King Cotton’s Long Shadow,https://opinionator.blogs.nytimes.com/2013/03/30/king-cottons-long-shadow,"We are accustomed to reckoning the legacy of slavery in the United States in terms of black disadvantage. The centrality of slavery to the nation’s economic development, however, suggests that any calculation of the nation’s unpaid debt for slavery must include a measure of the wealth it produced, of advantage as well as disadvantage. The United States, as W. E. B. Du Bois wrote, was “built upon a groan.”",Scholar
6,3/30/13,Opinion,King Cotton’s Long Shadow,https://opinionator.blogs.nytimes.com/2013/03/30/king-cottons-long-shadow,"We are accustomed to reckoning the legacy of slavery in the United States in terms of black disadvantage. The centrality of slavery to the nation’s economic development, however, suggests that any calculation of the nation’s unpaid debt for slavery must include a measure of the wealth it produced, of advantage as well as disadvantage. The United States, as W. E. B. Du Bois wrote, was “built upon a groan.”",Mention of Scholarly Work
6,3/30/13,Opinion,King Cotton’s Long Shadow,https://opinionator.blogs.nytimes.com/2013/03/30/king-cottons-long-shadow,"We are accustomed to reckoning the legacy of slavery in the United States in terms of black disadvantage. The centrality of slavery to the nation’s economic development, however, suggests that any calculation of the nation’s unpaid debt for slavery must include a measure of the wealth it produced, of advantage as well as disadvantage. The United States, as W. E. B. Du Bois wrote, was “built upon a groan.”",Social/Political Advocacy
7,2/13/92,Archives,Review/Television; Black Conservatives Get A Chance to Be Heard,https://www.nytimes.com/1992/02/13/news/review-television-black-conservatives-get-a-chance-to-be-heard.html,"Mr. Page notes that the debate among black Americans over the best road to equality and success did not begin just the other day. Booker T. Washington's post-Civil War vision of gradual economic achievement through education was later written off as appeasement by W. E. B. Du Bois, who demanded full equality at once.",Activist
7,2/13/92,Archives,Review/Television; Black Conservatives Get A Chance to Be Heard,https://www.nytimes.com/1992/02/13/news/review-television-black-conservatives-get-a-chance-to-be-heard.html,"Mr. Page notes that the debate among black Americans over the best road to equality and success did not begin just the other day. Booker T. Washington's post-Civil War vision of gradual economic achievement through education was later written off as appeasement by W. E. B. Du Bois, who demanded full equality at once.",Social/Political Advocacy
8,3/26/09,U.S.,"John Hope Franklin, Scholar of African-American History, Is Dead at 94",https://www.nytimes.com/2009/03/26/us/26franklin.html," In the 1920s, the family moved to Tulsa, and at age 11 he was taken to hear the great civil rights leader W. E. B. Du Bois, with whom Dr. Franklin later became friends.",Activist
8,3/26/09,U.S.,"John Hope Franklin, Scholar of African-American History, Is Dead at 94",https://www.nytimes.com/2009/03/26/us/26franklin.html," In the 1920s, the family moved to Tulsa, and at age 11 he was taken to hear the great civil rights leader W. E. B. Du Bois, with whom Dr. Franklin later became friends.",Social/Political Advocacy
9,11/7/93,New York,ABOUT BOOKS,https://www.nytimes.com/1993/11/07/nyregion/about-books.html,"Now it turns out that for the last eight years, another major book was in the works: ""W. E. B. Du Bois: Biography of a Race, 1868-1919"" (Henry Holt & Company, New York, $35), a 735-page tome, described by Dr. Lewis in his preface as a project that ""often rendered me unaware of the routine of daily life."" Du Bois died in 1963 at the age of 95, and the research involved travel over three continents, inquiry into 28 archives and 99 library collections and interviews with more than 150 people. ""And alas,"" Dr. Lewis said recently, ""all this for what it turns out is only volume one."" But ""Du Bois"" -- a candidate for the National Book Award in nonfiction -- is a powerfully thorough book that because its subject was such a extraordinary leader, so central to the political controversies around him, it compels a reappraisal of the post-Civil War era. Du Bois is perhaps best known in the civil rights movement for his insistence on full equality for his fellow blacks, as opposed to the accommodative policies of Booker T. Washington. But Dr. Lewis's book reveals much more about Du Bois as political strategist. In 1911, for example, when Woodrow Wilson, then Governor of New Jersey, prepared to enter the Presidential race, he asked Du Bois to influence blacks to depart from their traditional Republican stance and vote Democratic. After Wilson won with a larger-than-expected vote and segregationist politics continued, Du Bois retaliated with searing anti-Wilson editorials in The Crisis, the magazine of the National Association for the Advancement of Colored People.",Activist
9,11/7/93,New York,ABOUT BOOKS,https://www.nytimes.com/1993/11/07/nyregion/about-books.html,"Now it turns out that for the last eight years, another major book was in the works: ""W. E. B. Du Bois: Biography of a Race, 1868-1919"" (Henry Holt & Company, New York, $35), a 735-page tome, described by Dr. Lewis in his preface as a project that ""often rendered me unaware of the routine of daily life."" Du Bois died in 1963 at the age of 95, and the research involved travel over three continents, inquiry into 28 archives and 99 library collections and interviews with more than 150 people. ""And alas,"" Dr. Lewis said recently, ""all this for what it turns out is only volume one."" But ""Du Bois"" -- a candidate for the National Book Award in nonfiction -- is a powerfully thorough book that because its subject was such a extraordinary leader, so central to the political controversies around him, it compels a reappraisal of the post-Civil War era. Du Bois is perhaps best known in the civil rights movement for his insistence on full equality for his fellow blacks, as opposed to the accommodative policies of Booker T. Washington. But Dr. Lewis's book reveals much more about Du Bois as political strategist. In 1911, for example, when Woodrow Wilson, then Governor of New Jersey, prepared to enter the Presidential race, he asked Du Bois to influence blacks to depart from their traditional Republican stance and vote Democratic. After Wilson won with a larger-than-expected vote and segregationist politics continued, Du Bois retaliated with searing anti-Wilson editorials in The Crisis, the magazine of the National Association for the Advancement of Colored People.",Mention of Scholarly Work
9,11/7/93,New York,ABOUT BOOKS,https://www.nytimes.com/1993/11/07/nyregion/about-books.html,"Now it turns out that for the last eight years, another major book was in the works: ""W. E. B. Du Bois: Biography of a Race, 1868-1919"" (Henry Holt & Company, New York, $35), a 735-page tome, described by Dr. Lewis in his preface as a project that ""often rendered me unaware of the routine of daily life."" Du Bois died in 1963 at the age of 95, and the research involved travel over three continents, inquiry into 28 archives and 99 library collections and interviews with more than 150 people. ""And alas,"" Dr. Lewis said recently, ""all this for what it turns out is only volume one."" But ""Du Bois"" -- a candidate for the National Book Award in nonfiction -- is a powerfully thorough book that because its subject was such a extraordinary leader, so central to the political controversies around him, it compels a reappraisal of the post-Civil War era. Du Bois is perhaps best known in the civil rights movement for his insistence on full equality for his fellow blacks, as opposed to the accommodative policies of Booker T. Washington. But Dr. Lewis's book reveals much more about Du Bois as political strategist. In 1911, for example, when Woodrow Wilson, then Governor of New Jersey, prepared to enter the Presidential race, he asked Du Bois to influence blacks to depart from their traditional Republican stance and vote Democratic. After Wilson won with a larger-than-expected vote and segregationist politics continued, Du Bois retaliated with searing anti-Wilson editorials in The Crisis, the magazine of the National Association for the Advancement of Colored People.",Social/Political Advocacy
11,3/1/87,U.S.,DU BOIS YARD YIELDS CLUES TO LIVES OF BLACKS IN U.S.,https://www.nytimes.com/1987/03/01/us/du-bois-yard-yields-clues-to-lives-of-blacks-in-us.html,"Du Bois' great-grandfather, Tom Burghardt, probably came to the Berkshires with a Dutch family, Mr. Paynter said. Burghardt was freed from slavery in the 1780's because he fought in the Revolutionary War. W. E. B. Du Bois was born in the village of Great Barrington in 1868, and died in self-exile in Ghana. He was given the house for his 60th birthday by friends, who included Clarence Darrow, the lawyer. Du Bois later sold the house because he could not afford to keep it up, and the property was eventually turned over to the Du Bois Foundation, which dedicated it as a memorial park in 1969.",Monumental Memorialization
12,10/6/20,Opinion,America May Need International Intervention,https://www.nytimes.com/2020/10/06/opinion/us-united-nations-election.html,"Americans are not so inherently virtuous that they can safely disregard the moral discipline that international oversight provides. Wells-Barnett, Du Bois and Robeson understood that from brutal, firsthand experience. Now that Mr. Biden and other white Democrats are tasting disenfranchisement themselves, they need to learn that lesson, too.",Social/Political Advocacy
12,10/6/20,Opinion,America May Need International Intervention,https://www.nytimes.com/2020/10/06/opinion/us-united-nations-election.html,"Americans are not so inherently virtuous that they can safely disregard the moral discipline that international oversight provides. Wells-Barnett, Du Bois and Robeson understood that from brutal, firsthand experience. Now that Mr. Biden and other white Democrats are tasting disenfranchisement themselves, they need to learn that lesson, too.",Collective Synecdoche
13,2/4/22,Opinion,The Backlash Against C.R.T. Shows That Republicans Are Losing Ground,https://www.nytimes.com/2022/02/04/opinion/crt-backlash-du-bois.html,"Last fall, around the same time that Republican lawmakers in several states were drafting and championing these bills, the Library of America — a nonprofit publisher of significant works in American writing and literature — released its edition of W.E.B. Du Bois’s groundbreaking “Black Reconstruction in America: An Essay Toward a History of the Part which Black Folk Played in the Attempt to Reconstruct Democracy in America, 1860-1880.” There is no direct connection between the book’s republication and the wave of educational gag orders around race and racism. Nonetheless, there is something fortuitous in how Du Bois, writing from 1935, comments on and critiques the politics of history in 2022. The concluding chapter of “Black Reconstruction,” “The Propaganda of History,” is a polemical essay on the uses and abuses of historical narrative as well as a heated attack on the mainstream of American history writing as it existed in the 1920s and ’30s, when Du Bois’s book was conceived, researched and written. Du Bois excoriates those historians for acting less as “scientists” in search of something like objective truth and more as propagandists for a social and economic order of segregation, violence and exploitation:",Scholar
13,2/4/22,Opinion,The Backlash Against C.R.T. Shows That Republicans Are Losing Ground,https://www.nytimes.com/2022/02/04/opinion/crt-backlash-du-bois.html,"Last fall, around the same time that Republican lawmakers in several states were drafting and championing these bills, the Library of America — a nonprofit publisher of significant works in American writing and literature — released its edition of W.E.B. Du Bois’s groundbreaking “Black Reconstruction in America: An Essay Toward a History of the Part which Black Folk Played in the Attempt to Reconstruct Democracy in America, 1860-1880.” There is no direct connection between the book’s republication and the wave of educational gag orders around race and racism. Nonetheless, there is something fortuitous in how Du Bois, writing from 1935, comments on and critiques the politics of history in 2022. The concluding chapter of “Black Reconstruction,” “The Propaganda of History,” is a polemical essay on the uses and abuses of historical narrative as well as a heated attack on the mainstream of American history writing as it existed in the 1920s and ’30s, when Du Bois’s book was conceived, researched and written. Du Bois excoriates those historians for acting less as “scientists” in search of something like objective truth and more as propagandists for a social and economic order of segregation, violence and exploitation:",Mention of Scholarly Work
13,2/4/22,Opinion,The Backlash Against C.R.T. Shows That Republicans Are Losing Ground,https://www.nytimes.com/2022/02/04/opinion/crt-backlash-du-bois.html,"Last fall, around the same time that Republican lawmakers in several states were drafting and championing these bills, the Library of America — a nonprofit publisher of significant works in American writing and literature — released its edition of W.E.B. Du Bois’s groundbreaking “Black Reconstruction in America: An Essay Toward a History of the Part which Black Folk Played in the Attempt to Reconstruct Democracy in America, 1860-1880.” There is no direct connection between the book’s republication and the wave of educational gag orders around race and racism. Nonetheless, there is something fortuitous in how Du Bois, writing from 1935, comments on and critiques the politics of history in 2022. The concluding chapter of “Black Reconstruction,” “The Propaganda of History,” is a polemical essay on the uses and abuses of historical narrative as well as a heated attack on the mainstream of American history writing as it existed in the 1920s and ’30s, when Du Bois’s book was conceived, researched and written. Du Bois excoriates those historians for acting less as “scientists” in search of something like objective truth and more as propagandists for a social and economic order of segregation, violence and exploitation:",Social/Political Advocacy
13,2/4/22,Opinion,The Backlash Against C.R.T. Shows That Republicans Are Losing Ground,https://www.nytimes.com/2022/02/04/opinion/crt-backlash-du-bois.html,"Last fall, around the same time that Republican lawmakers in several states were drafting and championing these bills, the Library of America — a nonprofit publisher of significant works in American writing and literature — released its edition of W.E.B. Du Bois’s groundbreaking “Black Reconstruction in America: An Essay Toward a History of the Part which Black Folk Played in the Attempt to Reconstruct Democracy in America, 1860-1880.” There is no direct connection between the book’s republication and the wave of educational gag orders around race and racism. Nonetheless, there is something fortuitous in how Du Bois, writing from 1935, comments on and critiques the politics of history in 2022. The concluding chapter of “Black Reconstruction,” “The Propaganda of History,” is a polemical essay on the uses and abuses of historical narrative as well as a heated attack on the mainstream of American history writing as it existed in the 1920s and ’30s, when Du Bois’s book was conceived, researched and written. Du Bois excoriates those historians for acting less as “scientists” in search of something like objective truth and more as propagandists for a social and economic order of segregation, violence and exploitation:",Out of the Mouth of Academics
14,9/9/81,Obituaries,"ROY WILKINS, 50-YEAR VETERAN OF CIVIL RIGHTS FIGHT, IS DEAD",https://www.nytimes.com/1981/09/09/obituaries/roy-wilkins-50-year-veteran-of-civil-rights-fight-is-dead.html,"The same year Mr. Wilkins succeeded W. E. B. Du Bois as editor of The Crisis, the official N.A.A.C.P. magazine, while continuing as a writer, lecturer and organizer for the association. In 1949 his mentor, Mr. White, took a year's leave and Mr. Wilkins became acting executive secretary. On Mr. White's return, Mr. Wilkins became administrator of internal affairs, a post he held until Mr. White died in 1955. At that time the N.A.A.C.P. board voted unanimously to make Mr. Wilkins executive secretary, a title later changed to executive director. p.u. 1st add WILKINS OBIT",Coalition Building
15,7/22/16,New York,Dignity in Death for Black Families at a Brooklyn Funeral Home,https://www.nytimes.com/2016/07/24/nyregion/at-a-funeral-home-in-brooklyn-the-hard-business-of-goodbye.html,"In that era, many slaves conceived of death as a kind of emancipation — one that might bring the soul home to Africa. W. E. B. Du Bois described this feeling in “The Souls of Black Folk,” writing, “Of death the Negro showed little fear, but talked of it familiarly and even fondly as simply crossing the waters, perhaps — who knows? — back to his ancient forests again.”",Scholar
15,7/22/16,New York,Dignity in Death for Black Families at a Brooklyn Funeral Home,https://www.nytimes.com/2016/07/24/nyregion/at-a-funeral-home-in-brooklyn-the-hard-business-of-goodbye.html,"In that era, many slaves conceived of death as a kind of emancipation — one that might bring the soul home to Africa. W. E. B. Du Bois described this feeling in “The Souls of Black Folk,” writing, “Of death the Negro showed little fear, but talked of it familiarly and even fondly as simply crossing the waters, perhaps — who knows? — back to his ancient forests again.”",Mention of Scholarly Work
15,7/22/16,New York,Dignity in Death for Black Families at a Brooklyn Funeral Home,https://www.nytimes.com/2016/07/24/nyregion/at-a-funeral-home-in-brooklyn-the-hard-business-of-goodbye.html,"In that era, many slaves conceived of death as a kind of emancipation — one that might bring the soul home to Africa. W. E. B. Du Bois described this feeling in “The Souls of Black Folk,” writing, “Of death the Negro showed little fear, but talked of it familiarly and even fondly as simply crossing the waters, perhaps — who knows? — back to his ancient forests again.”",Social/Political Advocacy
16,9/15/91,Magazine,Princeton's Public Intellectual,https://www.nytimes.com/1991/09/15/magazine/princeton-s-public-intellectual.html,"Two years later, West returned to Harvard as a Du Bois Fellow. Instead of writing his thesis, he devoted himself to literature. Like any aspiring literary intellectual, West had to write a novel: his was about the dilemma of a black intellectual who wants to write but recognizes that the great riches of the black tradition lie primarily in its music and oratory. The protagonist goes deaf and, unable to hear the music that has sustained him, tries to recapture it with his pen. The novel was never published. While a Du Bois Fellow, West was married and had a son, Clifton, supporting his family by teaching. (That marriage and a later one both ended in divorce.) ""The first thing I ever taught was a class on 'Antigone,' in which a student thought I was a janitor and asked me to get more chairs. I brought the chairs in, and when the rest of the class got there, I stood up and started to lecture on Antigone's famous love song about human beings being so noble on the one hand and so cruel on the other.""",Monumental Memorialization
16,9/15/91,Magazine,Princeton's Public Intellectual,https://www.nytimes.com/1991/09/15/magazine/princeton-s-public-intellectual.html,"Two years later, West returned to Harvard as a Du Bois Fellow. Instead of writing his thesis, he devoted himself to literature. Like any aspiring literary intellectual, West had to write a novel: his was about the dilemma of a black intellectual who wants to write but recognizes that the great riches of the black tradition lie primarily in its music and oratory. The protagonist goes deaf and, unable to hear the music that has sustained him, tries to recapture it with his pen. The novel was never published. While a Du Bois Fellow, West was married and had a son, Clifton, supporting his family by teaching. (That marriage and a later one both ended in divorce.) ""The first thing I ever taught was a class on 'Antigone,' in which a student thought I was a janitor and asked me to get more chairs. I brought the chairs in, and when the rest of the class got there, I stood up and started to lecture on Antigone's famous love song about human beings being so noble on the one hand and so cruel on the other.""",Social/Political Advocacy
16,9/15/91,Magazine,Princeton's Public Intellectual,https://www.nytimes.com/1991/09/15/magazine/princeton-s-public-intellectual.html,"Two years later, West returned to Harvard as a Du Bois Fellow. Instead of writing his thesis, he devoted himself to literature. Like any aspiring literary intellectual, West had to write a novel: his was about the dilemma of a black intellectual who wants to write but recognizes that the great riches of the black tradition lie primarily in its music and oratory. The protagonist goes deaf and, unable to hear the music that has sustained him, tries to recapture it with his pen. The novel was never published. While a Du Bois Fellow, West was married and had a son, Clifton, supporting his family by teaching. (That marriage and a later one both ended in divorce.) ""The first thing I ever taught was a class on 'Antigone,' in which a student thought I was a janitor and asked me to get more chairs. I brought the chairs in, and when the rest of the class got there, I stood up and started to lecture on Antigone's famous love song about human beings being so noble on the one hand and so cruel on the other.""",Out of the Mouth of Academics
17,5/10/87,World,DU BOIS STILL A GREAT HERO TO GHANAIANS,https://www.nytimes.com/1987/05/10/world/du-bois-still-a-great-hero-to-ghanaians.html,"But in this West African city, where streets are named for African states and for leaders of the African independence movement, Du Bois is revered as the father of Pan-Africanism. ''Du Bois still has great influence on us,'' Ghana's Foreign Minister, Obed Asamoah, said in an interview here. Ghana's Pan-Africanist foreign policy was evident last October, when the Government declared five days of mourning in honor of Samora M. Machel, the Mozambique leader who was killed in a plane crash in South Africa. Seeds of African Independence In the first half of this century, Du Bois organized five Pan-African congresses, meetings that planted the seeds for the crop of independent nations that sprang up in Africa in the 1960's. Almost a quarter of a century after Du Bois's death, the Pan-Africanist outlook can be seen in the joint pressure mounted by Africans and black Americans to win majority rule for South-West African, known as Namibia, and South Africa. Pan-Africanists have also encountered setbacks. For now, Du Bois's ideal of a United States of Africa seems far out of reach. One symbol of modern Africa's nationalist rivalries was Nigeria's abrupt expulsion - enforced with pistols and whips - of a million illegal workers from Ghana in 1983. The center, which is gathering his books, papers and other memorabilia, is in his bungalow on a quiet residential street here. The one-story Du Bois house has overhanging eaves to block the afternoon sun, ceiling fans to cool the interior and holes cut in closets to reduce mildew.",Activist
17,5/10/87,World,DU BOIS STILL A GREAT HERO TO GHANAIANS,https://www.nytimes.com/1987/05/10/world/du-bois-still-a-great-hero-to-ghanaians.html,"But in this West African city, where streets are named for African states and for leaders of the African independence movement, Du Bois is revered as the father of Pan-Africanism. ''Du Bois still has great influence on us,'' Ghana's Foreign Minister, Obed Asamoah, said in an interview here. Ghana's Pan-Africanist foreign policy was evident last October, when the Government declared five days of mourning in honor of Samora M. Machel, the Mozambique leader who was killed in a plane crash in South Africa. Seeds of African Independence In the first half of this century, Du Bois organized five Pan-African congresses, meetings that planted the seeds for the crop of independent nations that sprang up in Africa in the 1960's. Almost a quarter of a century after Du Bois's death, the Pan-Africanist outlook can be seen in the joint pressure mounted by Africans and black Americans to win majority rule for South-West African, known as Namibia, and South Africa. Pan-Africanists have also encountered setbacks. For now, Du Bois's ideal of a United States of Africa seems far out of reach. One symbol of modern Africa's nationalist rivalries was Nigeria's abrupt expulsion - enforced with pistols and whips - of a million illegal workers from Ghana in 1983. The center, which is gathering his books, papers and other memorabilia, is in his bungalow on a quiet residential street here. The one-story Du Bois house has overhanging eaves to block the afternoon sun, ceiling fans to cool the interior and holes cut in closets to reduce mildew.",Monumental Memorialization
17,5/10/87,World,DU BOIS STILL A GREAT HERO TO GHANAIANS,https://www.nytimes.com/1987/05/10/world/du-bois-still-a-great-hero-to-ghanaians.html,"But in this West African city, where streets are named for African states and for leaders of the African independence movement, Du Bois is revered as the father of Pan-Africanism. ''Du Bois still has great influence on us,'' Ghana's Foreign Minister, Obed Asamoah, said in an interview here. Ghana's Pan-Africanist foreign policy was evident last October, when the Government declared five days of mourning in honor of Samora M. Machel, the Mozambique leader who was killed in a plane crash in South Africa. Seeds of African Independence In the first half of this century, Du Bois organized five Pan-African congresses, meetings that planted the seeds for the crop of independent nations that sprang up in Africa in the 1960's. Almost a quarter of a century after Du Bois's death, the Pan-Africanist outlook can be seen in the joint pressure mounted by Africans and black Americans to win majority rule for South-West African, known as Namibia, and South Africa. Pan-Africanists have also encountered setbacks. For now, Du Bois's ideal of a United States of Africa seems far out of reach. One symbol of modern Africa's nationalist rivalries was Nigeria's abrupt expulsion - enforced with pistols and whips - of a million illegal workers from Ghana in 1983. The center, which is gathering his books, papers and other memorabilia, is in his bungalow on a quiet residential street here. The one-story Du Bois house has overhanging eaves to block the afternoon sun, ceiling fans to cool the interior and holes cut in closets to reduce mildew.",Social/Political Advocacy
