Participant Number,Track ID,Full Text ,Positive,Favourite,Negative,Familiar,Unfamiliar,Musical Expressive Characteristics,Lyrics,Musical Meaning,Bass Line,Beat,Hook ,Instrumentation,Melody,Performer,Production,Rhythm,Riffs-Ornamentation,Song Structure/Composition,Sound ,Style,Tempo ,Vocals,Album,Artist ,Era ,Genre,Version,Other Forms of Media,Film,Music Video ,Musical,Playlist,Television,Memory,Discovery,Emotion,Event/Concert,Personal Event,Vacation,Place ,Time or Stage in Life,Girft/Recommendation ,Rediscovery,Reminisce- Nostalgia,Personal Performance ,People,Being Alone,Family ,Friends,Loss of a person,Romantic relationship,Recommendation from Friend/Family ,Accompaniment,Dancing,Driving ,Exercising ,Partying ,Singing ,Sleeping ,Walking ,Working ,Imagination,Season/time of day/weather,Christmas,Summer,Create Atmosphere,Change Mood,Stress/Frustration/Tension,Calm,Energy,Happiness-good mood,Motivation/focus,Sadness,Match Mood,No relationship,Participating in the study 
6,a,"Hit-Girl's hallway attack The Kick-ass soundtrack Great up beat tempo and fond memories Yes, it's in a great scene from my favorite movie","Great up beat tempo and fond memories/ Yes, it's in a great scene from my favorite movie","Yes, it's in a great scene from my favorite movie",,"Yes, it's in a great scene from my favorite movie",,"The Kick-ass soundtrack,Great up beat tempo ",,,,Great up beat tempo and fond memories,,,,,,,,,,,Great up beat tempo and fond memories,,,,,,,,"Hit-Girl's hallway attack /  The Kick-ass soundtrack / Yes, it's in a great scene from my favorite movie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,a,"It makes me think about walking to work on a cool summer night. Because it's a great song that makes me feel positive emotions The way it makes me feel, the uniqueness of the singers voice, the cadence of the music Yes, it brings back fond memories of my home-town. Particularly first meeting me boyfriend. ",Because it's a great song that makes me feel positive emotions ,,,"Yes, it brings back fond memories of my home-town",,,,,,,,,,,,,,"The way it makes me feel, the uniqueness of the singers voice, the cadence of the music ",,,,"The way it makes me feel, the uniqueness of the singers voice, the cadence of the music ",,,,,,,,,,,,,,"The way it makes me feel, the uniqueness of the singers voice, the cadence of the music ",,,,"Yes, it brings back fond memories of my home-town",,,,,,,,,,,Particularly first meeting me boyfriend. ,,,,,,,,,It makes me think about walking to work on a cool summer night,,,It makes me think about walking to work on a cool summer night,,It makes me think about walking to work on a cool summer night,,"Because it's a great song that makes me feel positive emotions  / The way it makes me feel, the uniqueness of the singers voice, the cadence of the music ",,,,Because it's a great song that makes me feel positive emotions,,,,,
7,b,"It makes me feel sad because of the recent passing of the genius that is Bowie. Because Bowie is my favourite artist It is a classic Yes, this song makes me feel filled with energy and optimism.",, Because Bowie is my favourite artist,," Yes, this song makes me feel filled with energy and optimism.",, Because Bowie is my favourite artist It is a classic,,,,,,,,,,,,,,,,,,It makes me feel sad because of the recent passing of the genius that is Bowie/  Because Bowie is my favourite artist,,,,,,,,,,,,,,,,,,,,,,,,,,It makes me feel sad because of the recent passing of the genius that is Bowie,,,,,,,,,,,,,,,,,,,," Yes, this song makes me feel filled with energy and optimism."," Yes, this song makes me feel filled with energy and optimism.",,It makes me feel sad because of the recent passing of the genius that is Bowie,,,
8,a,"I remember positive worship experiences listening to this track, both on my phone and live at Church. I have a playlist of worship music I listen to regularly. I feel uplifted, by the music and also by the spiritual connection I feel when I worship. Yes, in the sense that I don't just passively listen but engage in an act of worship through listening or singing along with a heart open to my God.",,,," Yes, in the sense that I don't just passively listen but engage in an act of worship through listening or singing along with a heart open to my God. / Yes - reguarly listen to it since it's been released/ large mutual enjoyment with friends",,,," I feel uplifted, by the music and also by the spiritual connection I feel when I worship",,,,,,,,,,,,,,,,,,,,,,,,I have a playlist of worship music I listen to regularly.,,,,,,"I remember positive worship experiences listening to this track, both on my phone and live at Church",,"I remember positive worship experiences listening to this track, both on my phone and live at Church",,,,,,,,Yes - reguarly listen to it since it's been released/ large mutual enjoyment with friends,,,,,,,,,," Yes, in the sense that I don't just passively listen but engage in an act of worship through listening or singing along with a heart open to my God.",,,,,,,," Yes, in the sense that I don't just passively listen but engage in an act of worship through listening or singing along with a heart open to my God."," I feel uplifted, by the music and also by the spiritual connection I feel when I worship",,,," I feel uplifted, by the music and also by the spiritual connection I feel when I worship",,,,,
8,b,"I don't recognise this, but it's peaceful. I remember looking for some music to support mindfulness meditation a while ago, and must have downloaded it then. I find it peaceful, I instinctively start to focus on my breathing and centre myself when I hear it. No, it isn't one I recall having actively listened to before.",,,,,"I don't recognise this, but it's peaceful/  No, it isn't one I recall having actively listened to before.","find it peaceful, I instinctively start to focus on my breathing and centre myself when I hear it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,," I remember looking for some music to support mindfulness meditation a while ago, and must have downloaded it then.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I don't recognise this, but it's peaceful/  I find it peaceful, I instinctively start to focus on my breathing and centre myself when I hear it. ",,,,,," No, it isn't one I recall having actively listened to before.",
9,a,Grime/stank face It's an absolute banger Sickest baseline Yes - reguarly listen to it since it's been released/ large mutual enjoyment with friends,It's an absolute banger/ Sickest baseline / Yes - reguarly listen to it since it's been released/ large mutual enjoyment with friends,,,reguarly listen to it since it's been released,,"Grime/stank face, Sickest baseline",,,Sickest baseline,,,,,,,,,,,,,,,,,Grime/stank face,,,,,,,,,,,,,,,,,,,,,,,Yes - reguarly listen to it since it's been released/ large mutual enjoyment with friends,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,a,Don't know this too well but love the artist New songs by an artist i already love its a good song no; its very new however i feel comfort from that artists voice,Don't know this too well but love the artist/ New songs by an artist i already love/ its a good song,,,,Don't know this too well but love the artist/ no; its very new however i feel comfort from that artists voice,,,,,,,,,no; its very new however i feel comfort from that artists voice,,,,,,,,no; its very new however i feel comfort from that artists voice,,Don't know this too well but love the artist/ New songs by an artist i already love/ no; its very new however i feel comfort from that artists voice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,..in their feeling of comfort. no; its very new however i feel comfort from that artists voice,,no; its very new however i feel comfort from that artists voice,,,,,,no; its very new however i feel comfort from that artists voice,
10,b,"comfort. the film boyhood after hearing it on a films soundtrack i found it and loved it its lyrics are comforting in any mood; it reminds me of the film and of personal feelings yes; it makes me feel confident, independent and also grounded. As someone with anxiety it helps me know i can let go sometimes and not always try and help myself.", i found it and loved it its lyrics are comforting in any mood; it reminds me of the film and of personal feelings,,,,,, i found it and loved it its lyrics are comforting in any mood; it reminds me of the film and of personal feelings,"its lyrics are comforting in any mood; it reminds me of the film and of personal feelings /yes; it makes me feel confident, independent and also grounded. /  As someone with anxiety it helps me know i can let go sometimes and not always try and help myself.",,,,,,,,,,,,,,,,,,,,, the film boyhood after hearing it on a films soundtrack/  i found it and loved it its lyrics are comforting in any mood; it reminds me of the film and of personal feelings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, As someone with anxiety it helps me know i can let go sometimes and not always try and help myself.,,,,"yes; it makes me feel confident, independent and also grounded. ",, i found it and loved it its lyrics are comforting in any mood; it reminds me of the film and of personal feelings,,
11,a,"Faith Encourgement It encourages me doing the day  No , just started listening to it .",,,,,,Faith Encourgement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faith Encourgement It encourages me doing the day,,,"No , just started listening to it .",
11,b,"Joy  It gives me hope. I enjoy it because it reminds me not to give up and allows me to express my self  Yes, I can play it when encouragement is needed.",,,,,,Joy ,,Joy /  I enjoy it because it reminds me not to give up and allows me to express my self,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, It gives me hope./  I enjoy it because it reminds me not to give up and allows me to express my self, I enjoy it because it reminds me not to give up and allows me to express my self,,"Yes, I can play it when encouragement is needed.",,
12,a,"The music video I like the song I like the voices  No, it doesn't affect me", I like the song I like the voices,,,,,,,,,,,,,,,,,,,,, I like the song I like the voices,,,,,,,,The music video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," No, it doesn't affect me",
12,b,"The video It's funny It's funny, the lyrics are lewd No",,,,,,"It's funny It's funny, the lyrics are lewd"," It's funny It's funny, the lyrics are lewd ",,,,,,,,,,,,,,,,,,,,,,,The video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
13,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,a,"I want to skip it When I got the track, I loved the song and now I am over it. I am just kinda over it, it is a bit annoying now. Yes, it's my dad's favorite song.",,,"I want to skip it / When I got the track, I loved the song and now I am over it. / I am just kinda over it, it is a bit annoying now.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I am just kinda over it, it is a bit annoying now.",,,,,,,"Yes, it's my dad's favorite song.",
14,b,"Spunky  I like the song  It is so upbeat and so fun. No, its just a good song "," I like the song  / No, its just a good song ",,,,,Spunky. It is so upbeat and so fun. ,,,,Spunky. It is so upbeat and so fun. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,a,Never heard it before... Wanted to have a Slayer album in my collection. Energetic No,,,,,Never heard it before,Energetic ,,,,,,,,,,,,,,,,,Wanted to have a Slayer album in my collection. ,Wanted to have a Slayer album in my collection. ,,,,,,,,Wanted to have a Slayer album in my collection. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
15,b,Moody I like the artist Feels good man. No, I like the artist ,,,,,Moody,,,,,,,,,,,,,,,,,, I like the artist ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moody, Feels good man. ,,,,,,,,No,
16,a,Relaxed I enjoy listening to relaxed music when doing uni work It relaxes me No,I enjoy listening to relaxed music when doing uni work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I enjoy listening to relaxed music when doing uni work,,,,,,,Relaxed/  It relaxes me ,Relaxed/  It relaxes me ,,,,,,No,
16,b,Olympics Liked it a few years ago Memories No,Liked it a few years ago ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olympics / Memories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
17,a,"Best concert I've ever been to I want to use it at my wedding The guitar and vocals Yes, Josh Garrels' music meant a lot to me when I was going through a hard time",,,," Yes, Josh Garrels' music meant a lot to me when I was going through a hard time",,,,Josh Garrels' music meant a lot to me when I was going through a hard time,,,,The guitar and vocals,,,,,,,,,,The guitar and vocals,,"Yes, Josh Garrels' music meant a lot to me when I was going through a hard time",,,,,,,,,,,,,Best concert I've ever been to,,,,"Yes, Josh Garrels' music meant a lot to me when I was going through a hard time",,,,,,,,,,,,,,,,,,,,,I want to use it at my wedding ,,,,,,,,,,,,,,
17,b,"I don't remember this song I saved the whole album I like the band No, I don't remember this song being on the album. As it's playing, I like it more. ","I like the band/ As it's playing, I like it more. ",,,,"I don't remember this song / No, I don't remember this song being on the album. ",,,,,,,,,,,,,,,,,," I saved the whole album/ , I don't remember this song being on the album",I like the band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,a,"Fun, energised Gets me pumped to do revision It's fun and happy No, I don't feel it on a human level",,,,,,"It's fun and happy, fun, energised ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fun, energised / Gets me pumped to do revision / It's fun and happy ",,,"Fun, energised ",It's fun and happy,Gets me pumped to do revision ,,," No, I don't feel it on a human level",
18,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,a,Its a good song that I've not listened to in a long time! I like Bruno Mars and the song makes me happy! I like Bruno Mars's voice and the dancing beat. No.,Its a good song that I've not listened to in a long time!  / I like Bruno Mars and the song makes me happy! /  I like Bruno Mars's voice and the dancing beat. ,,,,,,,,, I like Bruno Mars's voice and the dancing beat. ,,,,,,,,,,,, I like Bruno Mars's voice and the dancing beat. ,,I like Bruno Mars and the song makes me happy! /  I like Bruno Mars's voice and the dancing beat. ,,,,,,,,,,,,,,,,,,,Its a good song that I've not listened to in a long time!,,,,,,,,,,,,,,,,,,,,,,,,,,,,I like Bruno Mars and the song makes me happy!,,,,No.,
19,b,Its an old song! its good to dance too :)  good to dance to but can get a bit boring and repetitive.  no,,,good to dance to but can get a bit boring and repetitive.  ,,,its an old song! good to dance to but can get a bit boring and repetitive.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, its good to dance too :) / good to dance to but can get a bit boring and repetitive.  ,,,,,,,,,,,,,,,,,,,,,no,
20,a,"Old school hiphop with cool effects Because Run DMC are a classic trio and I like their music. Because its upbeat and makes me feel good, and it's fun to listen to on journeys. Not really, but it reminds me of summer",Because Run DMC are a classic trio and I like their music. ,,,,,,,,,"Because its upbeat and makes me feel good, and it's fun to listen to on journeys.",,,,,Old school hiphop with cool effects,,,,,,,,,Because Run DMC are a classic trio and I like their music. ,,Old school hiphop with cool effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Because its upbeat and makes me feel good, and it's fun to listen to on journeys.",,,,,,,,,," Not really, but it reminds me of summer",,"Because its upbeat and makes me feel good, and it's fun to listen to on journeys.",,,,"Because its upbeat and makes me feel good, and it's fun to listen to on journeys.",,,," Not really, but it reminds me of summer",
20,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,a,"Enjoyable, want to sing along  As part of a album I wanted to listen to Enjoy Yes , evokes memories ","Enjoyable, want to sing along/ Enjoy",,,,,"Enjoyable, Enjoy",,,,,,,,,,,,,,,,,As part of a album I wanted to listen to ,,,,,,,,,,,"Yes , evokes memories",,,,,,,,,,,,,,,,,,,,,,,,"Enjoyable, want to sing along  ",,,,,,,,,,,,,,,,,,
21,b,Great song  Good track from a great album Good song  No,Great song  Good track from a great album Good song ,,,,,,,,,,,,,,,,,,,,,, Good track from a great album ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
22,a,alcohol reminds me of university pre drinks memories no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, reminds me of university pre drinks memories,,,,,,,,,,,,,,,,alcohol /  reminds me of university pre drinks memories,,,,,,,,,,,,,,,,,, no,
22,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,a,"Sassy Good sassy song for the club Upbeat and empowering No, just like the song. Dont give connotations to songs or form a relationship to them because it will ruin the song if anything goes wrong.","Sassy Good sassy song for the club  /  No, just like the song.",,,,,"Sassy Good sassy song for the club, Upbeat and empowering",,,, Upbeat and empowering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sassy Good sassy song for the club ,,,,,,,,,,Sassy Good sassy song for the club /  Upbeat and empowering,,,,,,,," No, just like the song. /  Dont give connotations to songs or form a relationship to them because it will ruin the song if anything goes wrong",
23,b,"Hatred Empowering  Lyrics are powerful No, just like the song. Dont give connotations to songs or form a relationship to them because it will ruin the song if anything goes wrong"," No, just like the song.",,,,,Hatred Empowering ,Lyrics are powerful , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," No, just like the song. Dont give connotations to songs or form a relationship to them because it will ruin the song if anything goes wrong",
24,a,"A solitary lonely man playing beautiful music for people. Bill Evans is one of the most prolific Jazz Players of all time, and came across him via his son, a film scorer, Evan Evans. Piece Peace has many different flavours within the song and beautifully describes Bill's emotions at the time of composition, no need for words.  Yes. Discovered Bill Evans via his son, Evan Evans and recently downloaded it. I hope to discover more of his work soon.","A solitary lonely man playing beautiful music for people. / Bill Evans is one of the most prolific Jazz Players of all time, and came across him via his son, a film scorer, Evan Evan / I hope to discover more of his work soon.",,,"Yes. Discovered Bill Evans via his son, Evan Evans and recently downloaded it.",,,,"Piece Peace has many different flavours within the song and beautifully describes Bill's emotions at the time of composition, no need for words.",,,,,,,,,,"Piece Peace has many different flavours within the song and beautifully describes Bill's emotions at the time of composition, no need for words.","Piece Peace has many different flavours within the song and beautifully describes Bill's emotions at the time of composition, no need for words.",,,,,"Bill Evans is one of the most prolific Jazz Players of all time, and came across him via his son, a film scorer, Evan Evan / Piece Peace has many different flavours within the song and beautifully describes Bill's emotions at the time of composition, no need for words.","Piece Peace has many different flavours within the song and beautifully describes Bill's emotions at the time of composition, no need for words.","Bill Evans is one of the most prolific Jazz Players of all time, and came across him via his son, a film scorer, Evan Evan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A solitary lonely man playing beautiful music for people,,,,,,,,,,,,,,
24,b,"A very basic yet effective pop melody. In my 20s, I would go out to see 1927 on a regular basis and fell in love with their music. They are reformed pop/rock band from the late 1980s.  The flavour of the melody (regardless of the lyrics) gives me a high. Yes. This album was released after my partner died in 2012 and it has had a long term positive effective in my life in the grieving process.","In my 20s, I would go out to see 1927 on a regular basis and fell in love with their music. They are reformed pop/rock band from the late 1980s.",,,Yes. This album was released after my partner died in 2012 and it has had a long term positive effective in my life in the grieving process.,,,,,,,,,A very basic yet effective pop melody. /   The flavour of the melody (regardless of the lyrics) gives me a high/ \Like the tune.. reminds me of a fun night  out,,,,,,,,,,," In my 20s, I would go out to see 1927 on a regular basis and fell in love with their music./ They are reformed pop/rock band from the late 1980s.  ",They are reformed pop/rock band from the late 1980s.  ,A very basic yet effective pop melody. / They are reformed pop/rock band from the late 1980s.  ,,,,,,,,,,,,,,," In my 20s, I would go out to see 1927 on a regular basis and fell in love with their music.",,,,,,,,,Yes. This album was released after my partner died in 2012 and it has had a long term positive effective in my life in the grieving process.,Yes. This album was released after my partner died in 2012 and it has had a long term positive effective in my life in the grieving process.,,,,,,,,,,,,,,,,,,,,,,,,,
25,a,"Nostalgia, friends, sing along  For the reasons mentioned above : Nostalgia, friends, sing along  Makes me happy and reminds me of good times  Just a song that I like. ",Just a song that I like. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Makes me happy and reminds me of good times,,,,,,,Makes me happy and reminds me of good times,,,"Nostalgia, friends, sing along/ For the reasons mentioned above : Nostalgia, friends, sing along",,,,,"Nostalgia, friends, sing along/ For the reasons mentioned above : Nostalgia, friends, sing along",,,,,,,,,"Nostalgia, friends, sing along/ For the reasons mentioned above : Nostalgia, friends, sing along",,,,,,,,,Makes me happy and reminds me of good times,,,,Makes me happy and reminds me of good times,,,,,
25,b,Trying to learn this on guitar. Listening to friend playing this song and singing along in the back of a van during high school summer vacation.  I like this song. Pretty. Like to sing along. Nostalgia.  Like to sing along. Makes me happy.  Just nostalgic I guess. , I like this song. Pretty. ,,,,,Pretty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Listening to friend playing this song and singing along in the back of a van during high school summer vacation.,,Listening to friend playing this song and singing along in the back of a van during high school summer vacation.,,,Nostalgia/ Just nostalgic I guess. ,Trying to learn this on guitar,,,,,,,Listening to friend playing this song and singing along in the back of a van during high school summer vacation.,,,,,, Like to sing along,,,,,,,Listening to friend playing this song and singing along in the back of a van during high school summer vacation.,,,,,,Makes me happy. ,,,,,
